#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T04:32:53 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T04:32:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/203/catalog&-order=I&-out=SeqNo&-out=IDs&-out=pmX&-out=pmY&-out=e_pm&-out=Pr&-out=V&-out=B-V&-out=U-B&-out=RAJ2000&-out=DEJ2000&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1203
#Name: I/203
#Title: Proper Motions, UBV-Phot. & Spectral Class Region 7092 (Platais 1994)
#INFO	ivoid=ivo://cds.vizier/i/203	    IVOID of underlying data collection
#INFO	creator=Platais I.	    First author or institution
#INFO	cites=bibcode:1994BICDS..44....9P	    Article or Data origin sources
#INFO	original_date=1994	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/203	    Dataset landing page
#INFO	publication_date=2017-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	I_203_catalog:
#Name: I/203/catalog
#Title: The Catalogue in the region of NGC 7092
#Column	SeqNo	(I4)	[1/7931]+ Sequential number of the star.	[ucd=meta.id;meta.main]
#Column	IDs	(A1)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	pmX	(F6.1)	Relative proper motions in X (2)	[ucd=pos.pm]
#Column	pmY	(F6.1)	Relative proper motions in Y (2)	[ucd=pos.pm]
#Column	e_pm	(F4.1)	Mean standard error of proper motions (6)	[ucd=stat.error]
#Column	Pr	(I3)	Calculated membership probabilities (7)	[ucd=stat.fit.goodness]
#Column	V	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	RAJ2000	(A11)	Right Ascension (hours), Equinox=J2000 and Epoch=J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (degrees)	[ucd=pos.eq.dec;meta.main]
SeqNo;IDs;pmX;pmY;e_pm;Pr;V;B-V;U-B;RAJ2000;DEJ2000
# ; ;mas/yr;mas/yr;mas/yr;%;mag;mag;mag;"h:m:s";"d:m:s"
#----;-;------;------;----;---;-----;-----;-----;-----------;-----------
   1; ;  -6.3;   2.4; 2.0;  0;13.88; 0.31; 0.30;21 26 07.27;+48 27 05.9
   2; ;  -8.0;  11.3; 1.9;  0;11.89; 0.98; 0.91;21 26 08.38;+48 38 58.8
   3; ;   3.8;   2.8; 2.2;  0;12.66; 1.31; 0.84;21 26 13.50;+48 27 06.9
   4; ;  -2.4;  -9.9; 2.8;  0;12.74; 2.16; 1.79;21 26 12.15;+48 39 26.0
   5; ;   9.1;   1.8; 2.8;  0;13.56; 1.49; 0.92;21 26 12.89;+48 39 49.0
   6; ;  -1.5;  -1.7; 2.2;  0;13.02; 0.26; 0.09;21 26 15.26;+48 23 37.8
   7; ;  28.8;  -3.8; 2.2;  0;12.31; 0.56; 0.07;21 26 15.39;+48 26 02.6
   8; ;  -5.1;  -0.7; 2.1;  0;13.93; 0.46; 0.32;21 26 12.99;+48 41 32.0
   9; ;   1.7;   5.6; 2.2;  0;12.67; 0.82; 0.28;21 26 16.07;+48 24 23.8
  10; ;   6.9;  -0.9; 2.0;  0;12.94; 1.36; 1.16;21 26 18.17;+48 12 56.7
  11; ;   5.5;  -2.5; 2.1;  0;12.61; 1.90; 2.19;21 26 16.79;+48 23 35.2
  12; ;  -1.6;  -6.6; 3.4;  0;14.03; 1.39; 0.97;21 26 17.82;+48 27 04.2
  13; ;  -0.4;  -1.0; 1.9;  0;13.27; 0.47; 0.17;21 26 19.95;+48 14 10.3
  14; ;   1.7;   1.0; 1.7;  0;12.44; 1.69; 1.53;21 26 19.65;+48 29 14.1
  15; ; -11.7;  -5.3; 2.7;  0;14.23; 0.51; 0.31;21 26 17.93;+48 42 35.9
  16; ;  -2.4;  -0.4; 1.9;  0;13.00; 0.55; 0.37;21 26 22.66;+48 14 06.4
  17; ;  -3.3;  -7.0; 3.1;  0;13.98; 1.23; 0.36;21 26 21.43;+48 24 21.7
  18; ; -12.8;   3.1; 3.3;  0;14.73; 0.58; 0.00;21 26 21.07;+48 26 43.6
  19; ;  -2.4;  -2.8; 2.2;  0;13.82; 0.96; 0.59;21 26 22.14;+48 20 43.4
  20; ;  -0.1;   0.2; 1.8;  0;13.68; 0.64; 0.12;21 26 21.30;+48 29 49.8
  21; ;   0.8;   2.6; 2.3;  0;14.56; 0.49; 0.36;21 26 21.72;+48 26 59.6
  22; ;   3.2;   0.8; 1.9;  0;12.56; 1.38; 1.26;21 26 21.38;+48 29 36.4
  23; ;  -4.5;  -1.9; 1.9;  0;12.91; 0.98; 0.70;21 26 24.21;+48 12 18.6
  24; ;  -2.5;  -0.1; 2.2;  0;14.05; 0.85; 0.46;21 26 24.11;+48 14 38.5
