#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:38:48 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:38:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/374/504/table2&-order=I&-out=No&-out=Xpos&-out=Ypos&-out=Vmag&-out=e_Vmag&-out=B-V&-out=V-I&-out=U-B&-out=e_Imag&-out=e_Bmag&-out=e_Umag&-out=chi&-out=Sharp&-out=r&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33740504
#Name: J/A+A/374/504
#Title: UBVI photometry of NGC 7654 (Pandey+, 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/374/504	    IVOID of underlying data collection
#INFO	creator=Pandey	    First author or institution
#INFO	cites=bibcode:2001A&A...374..504P	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/374/504	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33740504	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-05-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_374_504_table2:
#Name: J/A+A/374/504/table2
#Title: UBVIc photometric data of the stars in the field of NGC 7654
#Column	No	(I6)	Identification number of the stars	[ucd=meta.id;meta.main]
#Column	Xpos	(F8.2)	Pixel coordinate (1)	[ucd=pos.frame]
#Column	Ypos	(F8.2)	Pixel coordinate (1)	[ucd=pos.frame]
#Column	Vmag	(F6.3)	Magnitude in the V (Johnson) band	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	Errors in the V (Johnson) band	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F7.3)	? B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-I	(F6.3)	? V-I (Cousins) colour index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	U-B	(F6.3)	? U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_Imag	(F6.3)	? Errors in the I (Cousins) band	[ucd=stat.error;phot.mag;em.opt.I]
#Column	e_Bmag	(F6.3)	? Errors in the B (Johnson) band	[ucd=stat.error;phot.mag;em.opt.B]
#Column	e_Umag	(F6.3)	? Errors in the U (Johnson) band	[ucd=stat.error;phot.mag;em.opt.U]
#Column	chi	(F6.3)	{chi} parameter in the V (Johnson) band (3)	[ucd=stat.error]
#Column	Sharp	(F6.3)	Sharpness parameter in the V (Johnson) band (2)	[ucd=stat.fit.param]
#Column	r	(F9.3)	Radial distance of the stars from the cluster center (X=855, Y=755)	[ucd=phys.angSize]
#Column	_RA	(F9.5)	Position computed from a comparison with UCAC4 (Cat. I/322) ({sigma}=0.2'') (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position computed from a comparison with UCAC4 (Cat. I/322) ({sigma}=0.2'') (declination part)	[ucd=pos.eq.dec;meta.main]
No;Xpos;Ypos;Vmag;e_Vmag;B-V;V-I;U-B;e_Imag;e_Bmag;e_Umag;chi;Sharp;r;_RA;_DE
# ;pix;pix;mag;mag;mag;mag;mag;mag;mag;mag; ; ;arcsec;deg;deg
#------;--------;--------;------;------;-------;------;------;------;------;------;------;------;---------;---------;---------
     1;  859.52;  749.70;16.184; 0.012;  0.933; 1.255; 0.282; 0.026; 0.018; 0.022; 0.690;-0.085;    6.970;351.13283;+61.56689
     2;  846.39;  756.64;18.772; 0.080;  1.313; 1.638;      ; 0.030; 0.050;      ; 0.470;-0.067;    8.767;351.14429;+61.56982
     3;  863.96;  754.34;19.519; 0.157;  1.313; 1.662;      ; 0.067; 0.117;      ; 0.460; 0.098;    8.980;351.12892;+61.56882
     4;  851.90;  764.30;18.554; 0.067;  1.210; 1.582; 0.072; 0.042; 0.047; 0.149; 0.500; 0.056;    9.800;351.13943;+61.57300
     5;  860.27;  765.22;18.210; 0.048;  0.860; 1.304; 0.463; 0.049; 0.027; 0.232; 0.490; 0.148;   11.496;351.13209;+61.57336
     6;  847.41;  763.80;20.555; 0.416;  1.215; 2.479;-1.301; 0.095; 0.235; 0.190; 0.440;-0.023;   11.623;351.14336;+61.57280
     7;  847.84;  743.90;17.958; 0.050;  1.061; 1.553; 0.469; 0.029; 0.024; 0.183; 0.660; 0.096;   13.206;351.14308;+61.56450
     8;  869.02;  754.93;19.319; 0.139;  1.324; 1.690;-0.629; 0.051; 0.072; 0.175; 0.510;-0.449;   14.017;351.12448;+61.56905
     9;  841.48;  749.38;19.647; 0.180;  1.082; 1.890;      ; 0.059; 0.098;      ; 0.470; 0.107;   14.643;351.14862;+61.56680
    10;  840.13;  756.36;17.957; 0.044;  1.037; 1.508; 0.495; 0.029; 0.044; 0.166; 0.570; 0.107;   14.936;351.14977;+61.56971
    11;  867.65;  746.25;20.326; 0.409;  0.883; 2.348;      ; 0.068; 0.126;      ; 0.590; 0.704;   15.383;351.12572;+61.56544
    12;  860.70;  772.02;18.883; 0.097;  1.051; 1.882;      ; 0.053; 0.058;      ; 0.400;-0.098;   17.947;351.13168;+61.57619
    13;  837.64;  743.65;18.416; 0.072;  0.861; 1.313; 0.464; 0.056; 0.034; 0.245; 0.650;-0.027;   20.739;351.15201;+61.56442
    14;  866.71;  773.21;14.327; 0.008;  0.584; 0.761; 0.366; 0.021; 0.021; 0.006; 1.400;-0.104;   21.645;351.12641;+61.57668
    15;  854.99;  777.48;12.870; 0.007;  0.460; 0.636;-0.020; 0.022; 0.016; 0.007; 1.510;-0.073;   22.480;351.13666;+61.57848
    16;  877.86;  760.22;19.111; 0.095;  0.980; 1.660; 0.382; 0.051; 0.055; 0.380; 0.390;-0.099;   23.454;351.11672;+61.57123
    17;  848.52;  777.56;17.818; 0.058;  0.648; 1.560; 0.223; 0.070; 0.053; 0.109; 0.390;-0.101;   23.468;351.14232;+61.57853
    18;  830.84;  756.63;17.689; 0.033;  1.057; 1.196; 0.831; 0.040; 0.031; 0.189; 0.540;-0.059;   24.220;351.15790;+61.56984
    19;  877.07;  766.60;20.255; 0.425;  0.282; 2.258;-0.332; 0.084; 0.078; 0.337; 0.670;-1.976;   24.937;351.11738;+61.57390
    20;  875.91;  741.29;17.827; 0.039;  1.772; 2.202;      ; 0.025; 0.028;      ; 0.530;-0.212;   25.003;351.11852;+61.56335
    21;  836.14;  738.28;15.718; 0.012;  0.671; 0.957; 0.516; 0.020; 0.018; 0.016; 0.930;-0.154;   25.205;351.15335;+61.56219
    22;  861.82;  779.34;17.738; 0.045;  1.105; 1.586; 0.302; 0.032; 0.031; 0.118; 0.660;-0.278;   25.280;351.13067;+61.57924
    23;  851.33;  780.48;15.368; 0.012;  0.792; 1.188; 0.382; 0.023; 0.020; 0.020; 1.100;-0.117;   25.744;351.13985;+61.57974
    24;  841.71;  777.27;18.114; 0.036;  1.957; 1.882;      ; 0.043; 0.063;      ; 0.290;-0.096;   25.930;351.14829;+61.57842
    25;  828.75;  750.41;18.613; 0.086;  1.700; 1.723;-0.184; 0.085; 0.149; 0.233; 0.580;-0.458;   26.645;351.15976;+61.56726
    26;  831.41;  767.81;18.504; 0.057;  0.988; 1.706; 0.275; 0.045; 0.035; 0.194; 0.420;-0.217;   26.839;351.15735;+61.57450
    27;  830.18;  742.86;16.369; 0.034;  1.286; 1.887; 0.831; 0.020; 0.020; 0.084; 1.870; 0.400;   27.627;351.15854;+61.56411
    28;  826.40;  753.57;15.580; 0.013;  0.789; 1.068; 0.354; 0.028; 0.020; 0.018; 0.970;-0.164;   28.633;351.16180;+61.56858
    29;  836.91;  732.47;17.899; 0.032;  0.947; 1.471; 0.502; 0.025; 0.025; 0.116; 0.400;-0.073;   28.894;351.15270;+61.55976
    30;  883.98;  757.80;16.903; 0.018;  1.873; 2.407; 0.771; 0.023; 0.027; 0.158; 0.510;-0.033;   29.120;351.11137;+61.57021
    31;  826.76;  762.09;19.125; 0.138;  1.246; 1.894;      ; 0.077; 0.144;      ; 0.560;-0.232;   29.121;351.16145;+61.57213
    32;  850.67;  784.70;18.085; 0.085;  2.057; 2.015;      ; 0.038; 0.081;      ; 1.020; 0.790;   30.017;351.14041;+61.58150
    33;  840.57;  781.33;18.400; 0.053;  1.289; 1.128; 0.318; 0.056; 0.036; 0.248; 0.450;-0.230;   30.021;351.14927;+61.58012
    34;  884.32;  747.85;15.752; 0.010;  0.892; 1.191; 0.451; 0.024; 0.017; 0.023; 0.730;-0.089;   30.181;351.11112;+61.56606
    35;  833.83;  777.20;14.827; 0.008;  0.788; 0.983; 0.320; 0.025; 0.021; 0.011; 0.970;-0.122;   30.676;351.15519;+61.57841
    36;  829.49;  772.70;18.424; 0.077;  1.325; 1.575; 0.500; 0.077; 0.064; 0.402; 0.680;-0.052;   31.052;351.15901;+61.57655
    37;  843.32;  726.04;17.634; 0.032;  1.001; 1.480; 0.236; 0.027; 0.030; 0.093; 0.530;-0.146;   31.222;351.14712;+61.55707
    38;  822.26;  747.42;17.345; 0.028;  0.990; 1.339; 0.410; 0.041; 0.023; 0.079; 0.580;-0.208;   33.611;351.16546;+61.56602
    39;  825.92;  737.39;16.979; 0.019;  0.966; 1.311; 0.386; 0.027; 0.021; 0.069; 0.570;-0.018;   33.994;351.16230;+61.56184
    40;  847.94;  721.74;13.290; 0.011;  0.430; 0.661; 0.132; 0.024; 0.019; 0.007; 2.480;-0.083;   34.001;351.14309;+61.55527
    41;  873.58;  726.09;17.890; 0.053;  1.039; 1.814; 0.578; 0.034; 0.040; 0.161; 0.720;-0.014;   34.362;351.12063;+61.55702
    42;  820.95;  761.19;12.981; 0.012;  0.447; 0.658; 0.031; 0.021; 0.016; 0.005; 2.860; 0.040;   34.612;351.16654;+61.57177
    43;  878.44;  780.52;17.979; 0.052;  1.891; 2.229; 0.151; 0.039; 0.065; 0.210; 0.620;-0.275;   34.651;351.11611;+61.57969
    44;  884.80;  737.29;18.920; 0.100;  1.225; 1.368;      ; 0.049; 0.054;      ; 0.550;-0.491;   34.669;351.11076;+61.56166
    45;  873.90;  784.29;16.526; 0.021;  0.922; 1.197; 0.298; 0.035; 0.029; 0.038; 0.920;-0.151;   34.855;351.12006;+61.58128
    46;  836.65;  724.39;18.383; 0.076;  0.946; 1.518; 0.472; 0.045; 0.041; 0.227; 0.570;-0.030;   35.688;351.15296;+61.55639
    47;  828.75;  779.64;14.838; 0.008;  0.614; 0.897; 0.437; 0.022; 0.019; 0.009; 0.960;-0.085;   36.002;351.15963;+61.57944
    48;  823.72;  773.01;17.162; 0.052;  0.941; 1.511; 0.608; 0.070; 0.032; 0.111; 1.320; 0.331;   36.095;351.16406;+61.57669
    49;  824.97;  733.18;19.056; 0.105;  1.064; 1.497;-0.418; 0.094; 0.074; 0.153; 0.430; 0.577;   37.124;351.16315;+61.56008
    50;  833.91;  786.31;13.422; 0.007;  0.648; 0.833; 0.187; 0.024; 0.016; 0.006; 1.540;-0.068;   37.754;351.15508;+61.58221
    51;  846.54;  718.01;17.160; 0.064;  1.075; 0.782; 0.395; 0.209; 0.148; 0.112; 0.600; 0.301;   37.947;351.14434;+61.55371
    52;  889.62;  770.96;19.369; 0.174;  0.714; 1.961; 0.045; 0.066; 0.065; 0.302; 0.630;-1.246;   38.122;351.10636;+61.57568
    53;  851.47;  793.60;17.678; 0.040;  1.199; 1.637; 0.434; 0.023; 0.027; 0.171; 0.670; 0.293;   38.762;351.13966;+61.58521
    54;  864.95;  717.04;14.675; 0.017;  0.643; 0.894; 0.406; 0.025; 0.019; 0.007; 2.580;-0.163;   39.239;351.12823;+61.55327
    55;  814.95;  756.01;13.292; 0.010;  0.514; 0.780; 0.281; 0.018; 0.015; 0.008; 2.230;-0.082;   40.061;351.17182;+61.56962
    56;  834.62;  720.10;16.098; 0.009;  0.871; 1.129; 0.295; 0.027; 0.018; 0.020; 0.530;-0.030;   40.416;351.15476;+61.55461
    57;  873.62;  719.07;15.001; 0.008;  0.606; 0.834; 0.469; 0.023; 0.015; 0.012; 0.880;-0.061;   40.473;351.12063;+61.55409
    58;  894.46;  744.36;18.527; 0.079;  1.116; 1.648;      ; 0.066; 0.047;      ; 0.610; 0.416;   40.869;351.10226;+61.56458
    59;  880.50;  722.60;15.165; 0.010;  0.714; 1.016; 0.421; 0.024; 0.017; 0.012; 1.150;-0.077;   41.227;351.11460;+61.55555
    60;  896.02;  760.80;16.567; 0.015;  1.029; 1.389; 0.403; 0.022; 0.018; 0.052; 0.620;-0.080;   41.426;351.10081;+61.57143
    61;  886.97;  781.71;13.003; 0.008;  0.516; 0.794; 0.328; 0.023; 0.019; 0.006; 1.910;-0.032;   41.660;351.10863;+61.58017
    62;  841.60;  794.60;17.613; 0.034;  1.282; 1.461; 0.956; 0.026; 0.024; 0.229; 0.610;-0.127;   41.805;351.14831;+61.58565
    63;  871.33;  716.15;18.163; 0.061;  0.856; 1.464; 0.458; 0.073; 0.064; 0.146; 0.630;-0.404;   42.141;351.12265;+61.55288
    64;  878.94;  789.75;12.218; 0.007;  0.389; 0.575;-0.182; 0.024; 0.017; 0.006; 1.840;-0.065;   42.200;351.11562;+61.58354
    65;  890.54;  731.46;18.950; 0.087;  1.384; 1.690;-0.262; 0.055; 0.062; 0.243; 0.420;-0.070;   42.624;351.10576;+61.55922
    66;  813.10;  763.60;17.673; 0.070;  1.002; 1.439; 0.176; 0.047; 0.060; 0.167; 0.890; 0.358;   42.775;351.17341;+61.57279
    67;  813.02;  743.34;14.770; 0.008;  0.736; 0.910; 0.394; 0.020; 0.019; 0.007; 1.030;-0.087;   43.572;351.17356;+61.56434
    68;  866.94;  798.25;19.115; 0.149;  2.292; 1.838;      ; 0.089; 0.178;      ; 0.700;-0.612;   44.865;351.12609;+61.58711
    69;  858.16;  710.04;18.173; 0.057;  1.486; 1.459; 0.367; 0.036; 0.032; 0.197; 0.610;-0.058;   45.072;351.13421;+61.55037
    70;  821.16;  784.82;18.350; 0.067;  1.309; 1.777; 0.603; 0.042; 0.046; 0.368; 0.600; 0.066;   45.106;351.16625;+61.58161
    71;  816.08;  732.12;18.876; 0.095;  1.380; 1.633; 0.096; 0.049; 0.066; 0.328; 0.520;-0.254;   45.151;351.17093;+61.55966
    72;  899.35;  763.88;18.128; 0.048;  0.742; 1.267; 0.514; 0.054; 0.029; 0.180; 0.540;-0.183;   45.227;351.09788;+61.57271
    73;  895.78;  735.44;19.381; 0.146;  1.172; 1.867;      ; 0.073; 0.065;      ; 0.500;-0.294;   45.229;351.10116;+61.56086
    74;  867.78;  711.61;19.851; 0.194;  1.455; 1.385;      ; 0.149; 0.163;      ; 0.430; 0.788;   45.237;351.12578;+61.55100
    75;  833.70;  794.93;18.160; 0.052;  0.898; 1.544;-0.162; 0.032; 0.042; 0.099; 0.540; 0.069;   45.258;351.15522;+61.58580
    76;  829.55;  717.13;18.232; 0.046;  0.915; 1.518; 0.555; 0.041; 0.031; 0.177; 0.410; 0.043;   45.629;351.15921;+61.55338
    77;  854.82;  800.85;18.456; 0.070;  1.487; 2.049;      ; 0.034; 0.068;      ; 0.560; 0.096;   45.851;351.13669;+61.58822
    78;  899.81;  744.28;16.860; 0.019;  1.041; 1.591; 0.448; 0.025; 0.020; 0.063; 0.540; 0.010;   46.078;351.09758;+61.56454
    79;  824.56;  789.69;16.235; 0.014;  1.083; 1.406; 0.382; 0.021; 0.024; 0.033; 0.760;-0.114;   46.153;351.16325;+61.58364
    80;  861.40;  708.86;19.738; 0.202;  1.291; 2.692;-0.430; 0.042; 0.112; 0.384; 0.410; 0.000;   46.585;351.13138;+61.54987
    81;  837.48;  800.12;14.335; 0.017;  0.589; 0.813; 0.365; 0.023; 0.016; 0.008; 2.610; 0.002;   48.398;351.15189;+61.58796
    82;  809.06;  737.48;16.094; 0.010;  0.971; 1.245; 0.251; 0.024; 0.031; 0.023; 0.610;-0.058;   49.164;351.17705;+61.56191
    83;  817.94;  787.89;19.224; 0.134;  0.649; 1.662; 0.232; 0.064; 0.063; 0.355; 0.520; 0.245;   49.551;351.16906;+61.58290
    84;  809.81;  775.50;19.900; 0.211;  0.545; 2.362;-0.388; 0.071; 0.172; 0.513; 0.360; 0.674;   49.620;351.17624;+61.57775
    85;  805.32;  759.67;18.277; 0.075;  1.296; 1.606; 0.309; 0.028; 0.035; 0.218; 0.770; 0.252;   49.902;351.18023;+61.57116
    86;  883.91;  713.97;19.231; 0.159;  1.443; 1.041;      ; 0.083; 0.074;      ; 0.710;-0.574;   50.189;351.11166;+61.55194
