#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:48:18 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:48:18	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/PAZh/36/16/stars&-order=I&-out=Cluster&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=B-V&-out=e_B-V&-out=V-Rc&-out=e_V-Rc&-out=V-Ic&-out=e_V-Ic&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_90360016
#Name: J/PAZh/36/16
#Title: Photometry in 6 galactic open star clusters (Glushkova+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pazh/36/16	    IVOID of underlying data collection
#INFO	creator=Glushkova E.V.	    First author or institution
#INFO	cites=bibcode:2010PAZh...36...16G	    Article or Data origin sources
#INFO	editor=Pis'ma v Astronomicheskii Zhurnal	    Editor name (article)
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PAZh/36/16	    Dataset landing page
#INFO	publication_date=2017-07-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PAZh_36_16_stars:
#Name: J/PAZh/36/16/stars
#Title: Combined table from original tables
#Column	Cluster	(a7)	Cluster name	[ucd=meta.id.parent]
#Column	RAJ2000	(F10.6)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	Error on V	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson color index B-V	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? Error on B-V (1)	[ucd=stat.error;phot.color;em.opt.B]
#Column	V-Rc	(F6.3)	? Johnson-Cousins color index V-Rc (1)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_V-Rc	(F6.3)	? Error on V-Rc (1)	[ucd=stat.error;phot.color;em.opt.V]
#Column	V-Ic	(F6.3)	? Johnson-Cousins color index V-Ic (1)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	e_V-Ic	(F6.3)	? Error on V-Ic (1)	[ucd=stat.error;phot.color;em.opt.V]
Cluster;RAJ2000;DEJ2000;Vmag;e_Vmag;B-V;e_B-V;V-Rc;e_V-Rc;V-Ic;e_V-Ic
# ;deg;deg;mag;mag;mag;mag;mag;mag;mag;mag
#-------;----------;----------;------;------;------;------;------;------;------;------
NGC136 ;007.890317;+61.442793;13.813; 0.003; 0.417; 0.024; 0.272; 0.020; 0.573; 0.003
NGC136 ;007.808729;+61.475815;17.845; 0.007; 1.020; 0.027; 0.647; 0.009; 1.235; 0.008
NGC136 ;007.863901;+61.458967;13.510; 0.003; 0.719; 0.023;      ;      ;      ;
NGC136 ;007.783374;+61.493228;17.860; 0.007; 0.809; 0.015; 0.518; 0.008; 1.047; 0.008
NGC136 ;007.853827;+61.472695;14.427; 0.004; 0.726; 0.029; 0.464; 0.005; 0.912; 0.004
NGC136 ;007.798161;+61.497699;16.762; 0.006; 0.803; 0.036; 0.526; 0.008; 1.026; 0.009
NGC136 ;007.897769;+61.460820;19.215; 0.027; 1.129; 0.039; 0.714; 0.023; 1.351; 0.016
NGC136 ;007.799753;+61.500387;13.043; 0.004; 0.638; 0.014;      ;      ;      ;
NGC136 ;007.808218;+61.499443;15.273; 0.006; 2.100; 0.028; 1.256; 0.012; 2.413; 0.010
NGC136 ;007.936127;+61.454396;19.582; 0.023; 0.854; 0.054; 0.622; 0.025; 1.267; 0.031
NGC136 ;007.892263;+61.475536;17.583; 0.006; 0.940; 0.016; 0.578; 0.008; 1.119; 0.007
NGC136 ;007.785215;+61.519734;14.217; 0.003; 0.273; 0.006; 0.238; 0.004; 0.452; 0.008
NGC136 ;007.871384;+61.489799;13.413; 0.005; 1.443; 0.025;      ;      ;      ;
NGC136 ;007.917563;+61.475614;19.668; 0.020; 1.007; 0.056; 0.710; 0.019; 1.408; 0.021
NGC136 ;007.942643;+61.476162;17.434; 0.007; 1.411; 0.016; 0.842; 0.010; 1.682; 0.008
NGC136 ;007.827912;+61.525722;19.862; 0.024; 1.018; 0.062; 0.727; 0.023; 1.497; 0.025
NGC136 ;007.893384;+61.501463;15.219; 0.006; 0.524; 0.028; 0.384; 0.005; 0.809; 0.004
NGC136 ;007.869972;+61.510999;15.082; 0.003; 0.597; 0.018; 0.408; 0.005; 0.858; 0.003
NGC136 ;007.881484;+61.507196;16.808; 0.005; 0.655; 0.027; 0.471; 0.006; 0.999; 0.007
NGC136 ;007.870874;+61.513817;18.123; 0.008; 0.867; 0.017; 0.552; 0.009; 1.104; 0.012
NGC136 ;007.809690;+61.537704;19.997; 0.025; 1.017; 0.068; 0.708; 0.023; 1.372; 0.028
NGC136 ;007.895366;+61.504520;15.880; 0.027; 0.510; 0.032; 0.363; 0.005; 0.765; 0.003
NGC136 ;007.909517;+61.500576;14.768; 0.008; 0.504; 0.030; 0.365; 0.005; 0.769; 0.006
NGC136 ;007.819935;+61.537410;14.966; 0.003; 0.431; 0.021; 0.287; 0.005; 0.570; 0.003
NGC136 ;007.878383;+61.516093;19.273; 0.024; 1.092; 0.051; 0.715; 0.016; 1.434; 0.043
NGC136 ;007.882580;+61.514422;14.230; 0.004; 0.750; 0.033; 0.493; 0.006; 0.973; 0.003
NGC136 ;007.861385;+61.522667;17.959; 0.012; 0.751; 0.063; 0.466; 0.013; 0.990; 0.008
NGC136 ;007.899968;+61.509456;14.578; 0.008; 0.575; 0.021; 0.400; 0.005; 0.852; 0.015
NGC136 ;007.877308;+61.522080;15.996; 0.005; 0.594; 0.029; 0.412; 0.009; 0.862; 0.005
NGC136 ;007.819612;+61.545886;18.839; 0.011; 1.152; 0.031; 0.694; 0.012; 1.386; 0.033
NGC136 ;007.945741;+61.499489;17.205; 0.007; 1.603; 0.025; 1.069; 0.011; 2.040; 0.009
NGC136 ;007.855168;+61.534874;17.478; 0.014; 0.860; 0.017; 0.553; 0.008; 1.106; 0.017
NGC136 ;007.943066;+61.504568;16.031; 0.009; 0.631; 0.039; 0.406; 0.010; 0.832; 0.005
NGC136 ;007.916766;+61.539364;15.285; 0.004; 0.798; 0.017; 0.514; 0.006; 0.959; 0.003
NGC136 ;007.969374;+61.527025;18.600; 0.030; 1.049; 0.068;      ;      ; 1.129; 0.020
NGC136 ;008.005448;+61.513995;18.725; 0.015; 1.043; 0.057; 0.641; 0.022; 1.194; 0.012
NGC136 ;007.965559;+61.531035;15.205; 0.003; 0.543; 0.038; 0.376; 0.005; 0.750; 0.003
NGC136 ;007.938000;+61.542262;18.033; 0.010; 0.890; 0.030; 0.565; 0.009; 1.055; 0.009
NGC136 ;007.977891;+61.527511;15.288; 0.027; 0.886; 0.045; 0.563; 0.009; 1.059; 0.004
NGC136 ;007.912271;+61.554518;13.114; 0.003; 0.521; 0.023;      ;      ;      ;
NGC136 ;007.946237;+61.543848;17.367; 0.017; 0.985; 0.019; 0.603; 0.028; 1.106; 0.017
NGC136 ;008.005746;+61.524480;16.066; 0.008; 1.369; 0.029; 0.839; 0.009; 1.594; 0.008
NGC136 ;007.917187;+61.564481;15.686; 0.005; 0.746; 0.015; 0.482; 0.006; 0.884; 0.009
NGC136 ;007.878655;+61.434542;19.081; 0.014; 1.050; 0.037; 0.650; 0.037; 1.308; 0.016
NGC136 ;007.876926;+61.435173;19.871; 0.038; 1.271; 0.080; 0.731; 0.024; 1.510; 0.064
NGC136 ;007.814332;+61.458960;19.020; 0.014; 0.917; 0.031; 0.648; 0.036; 1.299; 0.015
NGC136 ;007.773554;+61.476081;18.196; 0.008; 1.012; 0.019; 0.622; 0.051; 1.325; 0.033
NGC136 ;007.745475;+61.488058;18.895; 0.034; 1.621; 0.049;      ;      ; 2.658; 0.038
NGC136 ;007.761893;+61.482093;18.286; 0.036; 1.042; 0.036;      ;      ;      ;
NGC136 ;007.823807;+61.458066;19.193; 0.029; 1.143; 0.041; 0.665; 0.015; 1.351; 0.017
NGC136 ;007.830183;+61.456024;15.359; 0.004; 0.450; 0.021; 0.263; 0.019; 0.583; 0.003
NGC136 ;007.846272;+61.450359;18.857; 0.012; 0.975; 0.036; 0.668; 0.024; 1.339; 0.014
NGC136 ;007.808850;+61.465250;17.079; 0.005; 0.896; 0.033; 0.554; 0.020; 1.071; 0.008
NGC136 ;007.884124;+61.436529;17.178; 0.006; 1.555; 0.040; 0.905; 0.030; 1.756; 0.015
NGC136 ;007.751433;+61.488265;17.640; 0.007; 1.087; 0.021;      ;      ; 1.295; 0.015
NGC136 ;007.730649;+61.496481;18.395; 0.034; 0.973; 0.025;      ;      ; 1.277; 0.011
NGC136 ;007.796790;+61.471272;18.505; 0.025; 0.998; 0.023; 0.640; 0.024; 1.286; 0.019
NGC136 ;007.821362;+61.462045;17.058; 0.013; 0.780; 0.029; 0.514; 0.007; 1.017; 0.017
NGC136 ;007.832004;+61.457962;19.101; 0.013; 0.877; 0.031; 0.568; 0.014; 1.124; 0.035
NGC136 ;007.793503;+61.473133;17.932; 0.007; 0.830; 0.022; 0.541; 0.015; 1.104; 0.008
NGC136 ;007.760068;+61.486142;16.548; 0.012; 0.851; 0.010; 0.513; 0.069; 1.081; 0.020
NGC136 ;007.761317;+61.486432;17.128; 0.006; 0.845; 0.022; 0.530; 0.056; 1.090; 0.008
NGC136 ;007.805535;+61.470119;17.067; 0.013; 0.612; 0.056; 0.386; 0.006; 0.813; 0.009
NGC136 ;007.812620;+61.468077;18.463; 0.009; 1.106; 0.056; 0.666; 0.010; 1.247; 0.026
NGC136 ;007.736988;+61.499117;19.603; 0.021; 1.083; 0.055;      ;      ; 1.467; 0.032
NGC136 ;007.836783;+61.459460;19.092; 0.014; 1.007; 0.065; 0.627; 0.020; 1.225; 0.023
NGC136 ;007.881601;+61.443037;19.188; 0.018; 1.070; 0.039; 0.658; 0.015; 1.322; 0.016
NGC136 ;007.878623;+61.444727;18.741; 0.010; 0.921; 0.047; 0.598; 0.022; 1.184; 0.012
NGC136 ;007.742475;+61.497975;18.895; 0.058; 1.222; 0.039;      ;      ; 1.483; 0.058
NGC136 ;007.818319;+61.468914;14.624; 0.004; 0.806; 0.021; 0.526; 0.006; 1.019; 0.005
NGC136 ;007.832039;+61.463680;14.784; 0.005; 0.784; 0.027; 0.496; 0.006; 0.947; 0.003
NGC136 ;007.781897;+61.484013;17.675; 0.006; 0.843; 0.016; 0.527; 0.008; 1.095; 0.007
NGC136 ;007.896352;+61.439781;17.304; 0.006; 1.354; 0.021; 0.830; 0.014; 1.620; 0.007
NGC136 ;007.866814;+61.451459;16.566; 0.005; 0.767; 0.035; 0.494; 0.010; 0.970; 0.005
NGC136 ;007.801373;+61.477297;18.314; 0.009; 0.923; 0.024; 0.585; 0.011; 1.136; 0.012
NGC136 ;007.767508;+61.490497;15.837; 0.004; 0.807; 0.014; 0.514; 0.030; 1.040; 0.005
NGC136 ;007.826964;+61.467720;17.525; 0.006; 0.703; 0.012; 0.445; 0.007; 0.926; 0.006
NGC136 ;007.789432;+61.482310;18.235; 0.013; 1.105; 0.020; 0.724; 0.014; 1.439; 0.017
NGC136 ;007.781459;+61.486352;18.744; 0.016; 1.459; 0.049; 0.895; 0.013; 1.691; 0.029
NGC136 ;007.850408;+61.460133;18.108; 0.008; 1.603; 0.056; 0.968; 0.011; 1.869; 0.010
NGC136 ;007.766421;+61.492966;16.656; 0.007; 0.829; 0.023; 0.524; 0.033; 1.071; 0.011
NGC136 ;007.872673;+61.453856;19.096; 0.019; 1.081; 0.035; 0.702; 0.014; 1.365; 0.015
NGC136 ;007.899013;+61.443019;16.199; 0.005; 1.104; 0.023; 0.687; 0.015; 1.293; 0.005
NGC136 ;007.811099;+61.477843;15.186; 0.004; 0.412; 0.023; 0.268; 0.004; 0.557; 0.003
NGC136 ;007.891350;+61.446970;19.092; 0.014; 0.961; 0.035; 0.648; 0.028; 1.233; 0.016
NGC136 ;007.817145;+61.476310;18.817; 0.019; 1.045; 0.057; 0.666; 0.019; 1.324; 0.023
NGC136 ;007.846785;+61.466761;16.736; 0.005; 0.759; 0.021; 0.484; 0.006; 0.944; 0.006
NGC136 ;007.911447;+61.441873;18.256; 0.012; 1.303; 0.023; 0.843; 0.012; 1.549; 0.017
NGC136 ;007.908799;+61.443174;16.237; 0.009; 0.972; 0.038; 0.586; 0.007; 1.126; 0.005
NGC136 ;007.830648;+61.473935;16.559; 0.007; 0.859; 0.033; 0.547; 0.009; 1.070; 0.005
NGC136 ;007.846356;+61.467931;19.203; 0.014; 0.928; 0.035; 0.663; 0.014; 1.347; 0.022
NGC136 ;007.845468;+61.469261;19.813; 0.027; 1.015; 0.058; 0.705; 0.035; 1.440; 0.044
NGC136 ;007.845778;+61.469950;18.810; 0.031; 1.151; 0.034; 0.713; 0.012; 1.372; 0.041
NGC136 ;007.750099;+61.506777;18.990; 0.018; 1.077; 0.035;      ;      ; 1.464; 0.015
NGC136 ;007.859328;+61.464856;17.486; 0.006; 0.952; 0.022; 0.589; 0.008; 1.134; 0.010
NGC136 ;007.809795;+61.484180;18.740; 0.011; 1.063; 0.027; 0.656; 0.012; 1.265; 0.012
NGC136 ;007.811934;+61.484129;17.284; 0.007; 0.704; 0.016; 0.436; 0.010; 0.911; 0.010
NGC136 ;007.776510;+61.497319;15.699; 0.004; 0.515; 0.023; 0.329; 0.005; 0.675; 0.004
NGC136 ;007.883221;+61.455880;16.437; 0.004; 0.717; 0.017; 0.464; 0.006; 0.903; 0.004
NGC136 ;007.918395;+61.442580;16.561; 0.005; 1.057; 0.010; 0.640; 0.007; 1.221; 0.007
NGC136 ;007.771954;+61.499830;16.736; 0.007; 0.716; 0.015; 0.471; 0.013; 0.939; 0.005
NGC136 ;007.819719;+61.481497;18.651; 0.025; 0.806; 0.065; 0.537; 0.021; 1.109; 0.022
NGC136 ;007.903087;+61.449483;18.298; 0.009; 0.951; 0.031; 0.630; 0.010; 1.227; 0.011
NGC136 ;007.836727;+61.475632;19.668; 0.021; 1.674; 0.077; 1.196; 0.020; 2.359; 0.035
NGC136 ;007.906155;+61.448752;19.510; 0.016; 0.953; 0.045; 0.634; 0.016; 1.256; 0.047
NGC136 ;007.839075;+61.475301;18.686; 0.024; 0.950; 0.053; 0.629; 0.039; 1.248; 0.020
NGC136 ;007.796267;+61.492242;17.922; 0.007; 0.749; 0.033; 0.497; 0.008; 1.012; 0.008
NGC136 ;007.750752;+61.510425;18.938; 0.012; 1.039; 0.039;      ;      ; 1.445; 0.059
NGC136 ;007.760734;+61.506682;18.110; 0.017; 1.077; 0.023; 0.623; 0.042; 1.224; 0.019
NGC136 ;007.850927;+61.471837;17.558; 0.006; 0.826; 0.013; 0.537; 0.008; 1.070; 0.007
NGC136 ;007.860271;+61.468784;19.968; 0.031; 1.119; 0.071; 0.763; 0.023; 1.447; 0.026
NGC136 ;007.869934;+61.465291;17.324; 0.006; 0.806; 0.012; 0.544; 0.007; 1.071; 0.007
NGC136 ;007.892347;+61.456645;19.577; 0.032; 0.998; 0.051; 0.685; 0.037; 1.338; 0.021
NGC136 ;007.807672;+61.491008;16.541; 0.006; 1.455; 0.028; 0.872; 0.009; 1.700; 0.007
NGC136 ;007.757599;+61.510492;15.690; 0.007; 0.766; 0.010; 0.495; 0.044; 1.040; 0.020
NGC136 ;007.875002;+61.464989;19.159; 0.014; 1.275; 0.042; 0.774; 0.021; 1.505; 0.017
NGC136 ;007.892069;+61.458394;18.872; 0.011; 0.893; 0.070; 0.613; 0.012; 1.207; 0.013
NGC136 ;007.923196;+61.446466;16.290; 0.008; 0.600; 0.011; 0.369; 0.005; 0.766; 0.004
NGC136 ;007.780982;+61.501875;18.742; 0.031; 0.963; 0.026; 0.662; 0.012; 1.290; 0.032
NGC136 ;007.913524;+61.450678;16.867; 0.005; 0.892; 0.010; 0.562; 0.007; 1.070; 0.007
NGC136 ;007.903472;+61.455380;19.826; 0.022; 0.973; 0.055; 0.734; 0.021; 1.441; 0.024
NGC136 ;007.838710;+61.481168;17.436; 0.007; 0.829; 0.022; 0.551; 0.007; 1.105; 0.006
NGC136 ;007.908459;+61.454289;15.718; 0.012; 0.812; 0.044; 0.531; 0.007; 1.040; 0.015
NGC136 ;007.902164;+61.457670;19.036; 0.015; 1.154; 0.036; 0.682; 0.013; 1.287; 0.035
NGC136 ;007.842489;+61.480966;17.122; 0.008; 0.947; 0.015; 0.585; 0.024; 1.129; 0.009
NGC136 ;007.768274;+61.510247;18.958; 0.012; 1.208; 0.034; 0.744; 0.031; 1.483; 0.013
NGC136 ;007.834615;+61.484838;17.603; 0.006; 1.105; 0.016; 0.653; 0.008; 1.270; 0.007
NGC136 ;007.766466;+61.511517;18.096; 0.010; 1.032; 0.033; 0.633; 0.023; 1.236; 0.013
NGC136 ;007.878173;+61.468296;18.036; 0.008; 0.925; 0.052; 0.616; 0.010; 1.217; 0.008
NGC136 ;007.889275;+61.464403;17.951; 0.007; 0.791; 0.015; 0.521; 0.008; 1.047; 0.015
NGC136 ;007.885818;+61.465924;16.342; 0.005; 0.789; 0.032; 0.515; 0.006; 1.003; 0.004
NGC136 ;007.757564;+61.516369;15.056; 0.007; 0.850; 0.008; 0.517; 0.041; 1.007; 0.022
NGC136 ;007.851244;+61.479733;18.876; 0.013; 1.071; 0.032; 0.647; 0.013; 1.286; 0.014
NGC136 ;007.931335;+61.448911;19.145; 0.023; 1.163; 0.038; 0.704; 0.032; 1.282; 0.048
NGC136 ;007.878054;+61.469645;17.585; 0.010; 1.101; 0.015; 0.686; 0.009; 1.336; 0.007
NGC136 ;007.863856;+61.475979;18.529; 0.037; 1.079; 0.046; 0.662; 0.019; 1.313; 0.010
NGC136 ;007.784335;+61.507331;17.912; 0.007; 0.767; 0.027; 0.493; 0.008; 1.000; 0.008
NGC136 ;007.828813;+61.491418;19.472; 0.017; 1.075; 0.047; 0.693; 0.017; 1.349; 0.027
NGC136 ;007.872001;+61.474796;18.351; 0.010; 1.077; 0.032; 0.701; 0.011; 1.376; 0.010
NGC136 ;007.886540;+61.469252;19.092; 0.020; 1.060; 0.069; 0.780; 0.015; 1.464; 0.048
NGC136 ;007.912411;+61.459314;18.199; 0.013; 1.060; 0.019; 0.621; 0.009; 1.200; 0.009
NGC136 ;007.851497;+61.483191;16.062; 0.004; 0.610; 0.029; 0.406; 0.005; 0.814; 0.003
NGC136 ;007.846750;+61.485212;16.896; 0.007; 0.842; 0.031; 0.572; 0.026; 1.145; 0.009
NGC136 ;007.840146;+61.488324;16.419; 0.009; 0.859; 0.025; 0.553; 0.011; 1.101; 0.006
NGC136 ;007.813196;+61.498911;18.472; 0.010; 0.924; 0.023; 0.611; 0.011; 1.223; 0.019
NGC136 ;007.895145;+61.467199;19.524; 0.017; 1.006; 0.047; 0.696; 0.027; 1.343; 0.019
NGC136 ;007.859212;+61.481578;19.619; 0.019; 1.091; 0.053; 0.668; 0.021; 1.361; 0.021
NGC136 ;007.771827;+61.515752;16.101; 0.012; 1.309; 0.011; 0.820; 0.014; 1.586; 0.016
