#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T05:43:10 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T05:43:10	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/152/129/table2&-order=I&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=Rmag&-out=e_Rmag&-out=pmRA&-out=pmDE&-out=RV&-out=Mm&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520129
#Name: J/AJ/152/129
#Title: VR photometry for 914 stars in NGC 188 (Chen+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/129	    IVOID of underlying data collection
#INFO	creator=Chen X.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..129C	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/129	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520129	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-02-20	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_129_table2:
#Name: J/AJ/152/129/table2
#Title: Information for stars in the open cluster NGC 188 field
#Column	RAJ2000	(F8.4)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F7.4)	[11.8/19.2] Johnson V band magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F7.4)	[0.0025/0.22] Uncertainty in Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Rmag	(F7.4)	[11.37/18.31] Cousins R band magnitude (1)	[ucd=phot.mag;em.opt.R]
#Column	e_Rmag	(F7.4)	[0.0023/0.22] Uncertainty in Rmag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	pmRA	(F6.2)	[-28.2/48.3] Proper motion along RA (2)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F6.2)	[-27/50.8] Proper motion along DE (2)	[ucd=pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	[-306.7/45.4]? Radial velocity (3)	[ucd=phys.veloc;pos.heliocentric]
#Column	Mm	(I1)	[0/1] Membership code (1=cluster member, or 0=not a cluster member)	[ucd=meta.code.member]
RAJ2000;DEJ2000;Vmag;e_Vmag;Rmag;e_Rmag;pmRA;pmDE;RV;Mm
#deg;deg;mag;mag;mag;mag;mas/yr;mas/yr;km/s;
#--------;--------;-------;-------;-------;-------;------;------;-------;-
011.9878;+85.2489;11.9947; 0.0025;11.3732; 0.0035; -5.74; -0.93; -42.23;1
011.9967;+85.1923;12.1560; 0.0038;11.4607; 0.0063; -3.34; -2.17; -41.94;0
011.5804;+85.2190;11.8634; 0.0037;11.5308; 0.0024;-19.38; -1.63; -31.90;0
012.6841;+85.2952;12.1620; 0.0025;11.6049; 0.0028;  6.95;  1.59; -62.06;0
011.2187;+85.2349;12.3289; 0.0025;11.6270; 0.0023; -5.03; -0.67; -41.44;1
011.4632;+85.3023;12.4615; 0.0028;11.7503; 0.0033; -5.08; -1.06; -42.18;1
011.7487;+85.2211;12.3916; 0.0031;11.7667; 0.0026; -5.49; -0.06; -42.09;1
013.5479;+85.2564;12.4375; 0.0045;11.8224; 0.0057; -6.42; -0.10; -42.14;1
011.5824;+85.3357;12.4669; 0.0029;11.8205; 0.0040; -5.53; -0.27; -42.97;1
010.9584;+85.3730;12.2790; 0.0048;11.8800; 0.0055;  0.00;  0.00;       ;0
012.2552;+85.1592;12.3553; 0.0054;11.9915; 0.0060; 17.68;-14.00;       ;0
011.8010;+85.3483;12.4671; 0.0032;12.0453; 0.0038; 48.24;  2.07;       ;0
012.9804;+85.2722;12.5989; 0.0030;12.0691; 0.0032;  4.58; 50.77;  36.98;0
012.3342;+85.3107;12.5519; 0.0028;12.1129; 0.0041;-17.18;-25.59; -69.48;0
013.3993;+85.3496;12.9107; 0.0062;12.2566; 0.0045; -5.54; -2.05; -43.04;0
012.2039;+85.3812;12.9560; 0.0044;12.2853; 0.0052; -5.73;  3.12; -98.81;0
010.6068;+85.2728;12.9595; 0.0034;12.3132; 0.0037; -4.71; -0.20; -42.57;1
010.8742;+85.3308;12.7323; 0.0028;12.3725; 0.0039;-14.19;  6.38; -14.82;0
011.8269;+85.3294;13.0202; 0.0034;12.3612; 0.0041; -5.71; -0.95; -42.95;1
010.5137;+85.3812;12.9979; 0.0075;12.4068; 0.0075; -2.80;  2.34; -80.49;0
013.4001;+85.3167;12.8458; 0.0038;12.4711; 0.0041;  7.47;-26.96; -12.33;0
013.0352;+85.3326;13.2298; 0.0039;12.4989; 0.0041; -3.04;  0.99; -60.92;0
013.3333;+85.1487;12.9538; 0.0113;12.5377; 0.0058;-28.18;  0.14; -23.13;0
013.0601;+85.2867;13.1078; 0.0032;12.5233; 0.0036; 20.62; 26.55; -44.64;0
010.8622;+85.1549;13.1607; 0.0062;12.5566; 0.0068; -4.69;  0.90; -53.40;0
011.9818;+85.1930;15.3417; 0.0247;14.9198; 0.0326;-12.96;  5.58;       ;0
012.4843;+85.3199;13.0924; 0.0034;12.7682; 0.0044; -1.45;  3.30;  -1.55;0
013.3957;+85.1874;13.3914; 0.0084;12.7737; 0.0052; -5.18; -0.43; -42.67;1
012.8403;+85.2105;13.3915; 0.0063;12.7709; 0.0041; -5.27; -0.55; -42.35;1
