#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:53:25 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:53:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/other/ASpR/58.1900/table3&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=U-B&-out=e_U-B&-out=B-V&-out=e_B-V&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Pmemb&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1057005801
#Name: J/other/ASpR/58.1900
#Title: NGC 225 CCD UBV photometry (Bilir+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/other/aspr/58.1900	    IVOID of underlying data collection
#INFO	creator=Bilir S.	    First author or institution
#INFO	cites=bibcode:2016AdSpR..58.1900B	    Article or Data origin sources
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/ASpR/58.1900	    Dataset landing page
#INFO	publication_date=2016-11-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_ASpR_58_1900_table3:
#Name: J/other/ASpR/58.1900/table3
#Title: Photometric and astrometric catalogue NGC 225
#Column	ID	(I4)	Sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	pmRA	(F5.1)	? Proper motion component (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	? rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.1)	? Proper motion component	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	? rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Pmemb	(I3)	? Membership probability	[ucd=stat]
ID;RAJ2000;DEJ2000;Vmag;e_Vmag;U-B;e_U-B;B-V;e_B-V;pmRA;e_pmRA;pmDE;e_pmDE;Pmemb
# ;"h:m:s";"d:m:s";mag;mag;mag;mag;mag;mag;mas/yr;mas/yr;mas/yr;mas/yr;%
#----;-----------;------------;------;------;------;------;------;------;-----;----;-----;----;---
   1;00 42 26.19;+61 51 47.54;17.741; 0.025; 0.826; 0.092; 1.025; 0.040; -1.3; 3.9; -5.8; 3.9; 50
   2;00 42 26.20;+61 55 04.98;18.272; 0.039; 0.313; 0.107; 1.010; 0.061; 27.6; 4.0; -0.1; 4.0;  0
   3;00 42 26.29;+61 53 14.07;17.705; 0.024; 0.291; 0.054; 0.777; 0.035; 18.0; 4.0;  3.2; 4.0;  0
   4;00 42 26.42;+61 50 27.96;18.129; 0.034;      ;      ; 1.933; 0.088;  0.0; 3.8; -1.3; 3.8; 69
   5;00 42 26.73;+61 46 04.52;17.657; 0.024; 0.326; 0.082; 1.375; 0.043;-25.2; 5.2;-21.1; 5.2;  0
   6;00 42 26.83;+61 54 32.02;13.166; 0.002; 0.654; 0.004; 0.923; 0.003; 10.9; 2.8;-16.1; 2.8;  0
   7;00 42 27.40;+61 46 08.48;16.908; 0.015; 1.527; 0.146; 1.866; 0.032;  5.6; 3.8;  2.6; 3.8; 18
   8;00 42 27.52;+61 40 56.65;18.806; 0.062;      ;      ; 1.809; 0.150; -2.8; 4.0; -1.3; 4.0; 92
   9;00 42 27.53;+61 36 57.51;18.604; 0.046; 1.023; 0.387; 1.628; 0.105;  0.6; 3.8;  1.5; 3.8; 63
  10;00 42 27.64;+61 40 45.33;18.069; 0.031; 0.161; 0.087; 1.125; 0.052; -0.8; 3.9;  1.4; 3.9; 78
  11;00 42 27.70;+61 40 34.23;13.957; 0.003; 0.098; 0.005; 0.693; 0.004; 14.2; 3.8;-11.7; 3.8;  0
  12;00 42 27.83;+61 40 07.18;18.147; 0.033; 1.048; 0.170; 1.155; 0.057;-56.7; 5.2;-47.5; 5.1;  0
  13;00 42 28.05;+61 53 53.44;15.722; 0.007; 0.246; 0.013; 0.691; 0.010; -3.3; 3.8;  3.1; 3.8; 85
  14;00 42 28.23;+61 45 09.12;16.670; 0.012; 0.816; 0.044; 1.167; 0.020; -7.3; 3.8;  0.2; 3.8; 90
  15;00 42 28.27;+61 47 53.42;18.166; 0.034;      ;      ; 1.361; 0.063; 16.1; 3.8; -6.9; 3.8;  0
  16;00 42 28.78;+61 56 33.17;18.068; 0.034;      ;      ; 1.876; 0.081;  2.0; 3.8; -3.2; 3.8; 42
  17;00 42 28.95;+61 52 54.30;15.582; 0.007; 0.352; 0.017; 1.161; 0.010; -0.6; 3.8;  3.9; 3.8; 63
  18;00 42 29.29;+61 55 08.55;17.651; 0.025;-1.396; 0.102; 2.020; 0.062;  1.6; 3.8;  0.4; 3.8; 54
  19;00 42 29.40;+61 55 46.71;14.020; 0.003; 0.755; 0.008; 1.125; 0.004;  4.9; 4.7; -1.4; 4.7;  0
  20;00 42 30.01;+61 51 31.74;18.246; 0.038; 0.053; 0.125; 1.487; 0.073; -1.0; 3.8; -1.7; 3.8; 77
  21;00 42 30.09;+61 54 08.84;16.882; 0.014; 0.886; 0.061; 1.320; 0.025;  3.0; 3.8; -2.3; 3.8; 36
  22;00 42 30.30;+61 40 47.86;16.993; 0.015; 1.140; 0.065; 1.095; 0.024; -1.5; 3.8; -1.7; 3.8; 81
  23;00 42 30.49;+61 39 46.90;15.214; 0.005; 0.409; 0.011; 0.794; 0.008;  5.2; 3.8; -3.1; 3.8; 19
  24;00 42 30.67;+61 52 55.15;15.617; 0.007; 0.281; 0.014; 0.903; 0.010; 20.2; 3.8; -3.2; 3.8;  0
  25;00 42 30.74;+61 43 13.44;18.655; 0.051;      ;      ; 1.326; 0.094;  3.1; 4.0; -3.7; 4.0; 35
  26;00 42 30.77;+61 38 20.12;18.577; 0.047; 0.434; 0.145; 0.995; 0.074; -3.4; 4.0;  0.2; 4.0; 98
  27;00 42 31.09;+61 46 05.36;18.434; 0.043; 0.802; 0.223; 1.432; 0.082;-13.0; 3.9;  2.9; 3.9; 33
  28;00 42 31.22;+61 41 02.69;18.460; 0.043; 0.906; 0.205; 1.183; 0.074;  4.9; 3.9;-15.8; 3.9;  1
  29;00 42 31.29;+61 40 13.06;17.945; 0.028; 0.912; 0.124; 1.089; 0.047;  1.7; 3.9; -0.9; 3.9; 54
  30;00 42 31.29;+61 54 29.55;10.920; 0.002; 0.570; 0.004; 1.000; 0.003;-26.1; 2.0; -9.7; 2.0;  0
  31;00 42 31.65;+61 45 30.64;17.934; 0.029; 1.047; 0.170; 1.452; 0.055; -2.4; 3.9; -3.7; 3.9; 74
  32;00 42 31.76;+61 55 14.23;14.424; 0.004; 1.488; 0.022; 1.929; 0.007; -0.7; 4.7; -3.8; 4.7; 72
  33;00 42 32.04;+61 48 13.22;16.305; 0.010; 1.245; 0.043; 1.186; 0.016;  4.9; 3.8; -2.8; 3.8; 21
  34;00 42 32.05;+61 49 08.34;17.839; 0.027; 0.759; 0.131; 1.444; 0.052;  9.8; 3.8;-15.7; 3.8;  0
  35;00 42 32.11;+61 37 41.59;15.528; 0.006; 0.425; 0.013; 0.709; 0.009;-19.1; 3.8;  2.7; 3.8;  4
  36;00 42 32.17;+61 55 26.75;17.437; 0.021;-0.184; 0.055; 1.390; 0.038;  5.1; 3.8; -1.9; 3.8; 21
  37;00 42 32.41;+61 47 41.01;17.750; 0.025; 0.645; 0.094; 1.221; 0.043; -2.7; 3.8; -3.2; 3.8; 79
  38;00 42 32.67;+61 40 09.35;18.538; 0.045; 0.537; 0.152; 1.041; 0.073; -0.5; 3.9; -4.5; 3.9; 56
  39;00 42 32.79;+61 44 27.21;18.131; 0.034; 1.525; 0.278; 1.386; 0.062; -2.6; 3.9;-13.7; 3.9;  6
  40;00 42 32.96;+61 41 13.04;17.610; 0.023; 0.719; 0.094; 1.257; 0.040;-17.2; 3.9;  0.8; 3.8; 10
  41;00 42 33.54;+61 37 31.84;16.864; 0.014; 0.616; 0.042; 1.061; 0.022; -3.3; 3.8; -1.2; 3.8; 94
  42;00 42 33.58;+61 52 03.78;15.922; 0.008; 0.462; 0.022; 1.166; 0.013;  2.8; 3.8; -0.2; 3.8; 42
  43;00 42 33.59;+61 54 26.72;18.671; 0.055; 0.829; 0.212; 1.021; 0.087;  2.1; 5.3; -2.8; 5.3; 65
  44;00 42 33.93;+61 52 48.35;17.336; 0.020; 1.195; 0.153; 1.778; 0.042; -0.3; 3.8; -1.0; 3.8; 73
  45;00 42 34.33;+61 37 23.18;17.947; 0.029;      ;      ; 1.705; 0.064; -1.9; 3.8; -5.7; 3.8; 52
