#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:33:09 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:33:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/466/3636/tablea1&-order=I&-out=More&-out=ID&-out=RAICRS&-out=DEICRS&-out=Vmag&-out=e_Vmag&-out=b-y&-out=e_b-y&-out=m1&-out=e_m1&-out=c1&-out=e_c1&-out=beta&-out=e_beta&-out=Member&-out=IPHAS&-out=2MASS&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74663636
#Name: J/MNRAS/466/3636
#Title: The young open cluster NGC 7067 (Monguio+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/mnras/466/3636	    IVOID of underlying data collection
#INFO	creator=Monguio M.	    First author or institution
#INFO	cites=bibcode:2017MNRAS.466.3636M	    Article or Data origin sources
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/466/3636	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74663636	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2000.000:	ICRS
#Table	J_MNRAS_466_3636_tablea1:
#Name: J/MNRAS/466/3636/tablea1
#Title: Coordinates and photometric indexes
#Column	More	(A1)	indicates parameters for B stars or physical parameters for hot stars	[ucd=meta.ref.url]
#Column	ID	(I4)	ID number	[ucd=meta.id;meta.main]
#Column	RAICRS	(A10)	Right ascension (ICRS, Epoch=J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(A9)	Declination (ICRS, Epoch=J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F5.2)	Error in V magnitude	[ucd=stat.error;phot.mag;em.opt.V]
#Column	b-y	(F5.2)	b-y color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_b-y	(F5.2)	Error in b-y color index	[ucd=stat.error;phot.color;em.opt.B]
#Column	m1	(F6.2)	m1 index	[ucd=phot.color]
#Column	e_m1	(F5.2)	Error in m1 index	[ucd=stat.error]
#Column	c1	(F6.2)	? c1 index	[ucd=phot.color]
#Column	e_c1	(F5.2)	? Error in c1 index	[ucd=stat.error]
#Column	beta	(F5.2)	? beta index	[ucd=phot.color]
#Column	e_beta	(F5.2)	? Error in beta	[ucd=stat.error]
#Column	Member	(I1)	[0/1] 1 for member	[ucd=meta.code.member]
#Column	IPHAS	(A19)	IPHAS ID (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id]
#Column	2MASS	(A16)	2MASS ID (HHMMSSss+DDMMSSs)	[ucd=meta.id]
More;ID;RAICRS;DEICRS;Vmag;e_Vmag;b-y;e_b-y;m1;e_m1;c1;e_c1;beta;e_beta;Member;IPHAS;2MASS
# ; ;"h:m:s";"d:m:s";mag;mag;mag;mag;mag;mag;mag;mag;mag;mag; ; ;
#-;----;----------;---------;-----;-----;-----;-----;------;-----;------;-----;-----;-----;-;-------------------;----------------
 ; 623;21 25 16.1;+48 03 41;15.91; 0.01; 0.79; 0.01; -0.01; 0.03;  0.55; 0.01; 2.67; 0.01;0;J212516.10+480341.5;21251609+4803414
 ; 624;21 25 15.7;+48 01 08;14.52; 0.01; 1.18; 0.02;  0.13; 0.02;  0.59; 0.01; 2.62; 0.00;0;J212515.73+480107.3;21251572+4801073
*; 625;21 25 15.4;+47 56 07;13.51; 0.01; 0.60; 0.01;  0.02; 0.01;  1.19; 0.01; 2.93; 0.01;0;J212515.42+475606.9;21251539+4756068
 ; 626;21 25 15.0;+47 57 50;16.28; 0.01; 1.03; 0.01; -0.12; 0.02;  0.62; 0.02; 2.66; 0.01;0;J212515.02+475749.5;21251500+4757494
 ; 627;21 25 12.1;+47 58 36;15.69; 0.01; 0.94; 0.01; -0.09; 0.01;  0.77; 0.01; 2.69; 0.01;0;J212512.17+475835.8;21251215+4758357
*; 628;21 25 12.0;+48 02 37;14.67; 0.01; 0.78; 0.01; -0.06; 0.02;  1.09; 0.01; 2.77; 0.01;0;J212512.01+480236.6;21251199+4802365
*; 629;21 25 11.5;+48 01 20;14.58; 0.01; 0.55; 0.01;  0.01; 0.01;  1.17; 0.01; 2.96; 0.00;0;J212511.54+480119.5;21251153+4801195
*; 630;21 25 10.7;+48 03 16;14.43; 0.01; 0.74; 0.01;  0.06; 0.02;  0.98; 0.00; 2.84; 0.00;0;J212510.66+480316.1;21251064+4803161
 ; 631;21 25 10.6;+48 02 50;15.17; 0.01; 1.01; 0.01; -0.09; 0.02;  0.64; 0.01; 2.66; 0.00;0;J212510.58+480249.6;21251057+4802495
 ; 632;21 25 10.3;+47 56 32;15.35; 0.02; 1.22; 0.01;  0.07; 0.03;  0.57; 0.01; 2.62; 0.00;0;J212510.28+475631.1;21251026+4756311
*; 633;21 25 09.3;+47 54 32;16.42; 0.02; 0.82; 0.01; -0.02; 0.02;  0.95; 0.02; 2.78; 0.00;0;J212509.25+475432.0;21250923+4754319
*; 634;21 25 07.2;+48 03 56;14.25; 0.01; 0.60; 0.01;  0.06; 0.01;  1.05; 0.01; 2.90; 0.00;0;J212507.16+480356.3;21250715+4803563
 ; 635;21 25 06.6;+48 02 33;14.62; 0.01; 1.25; 0.01;  0.15; 0.02;  0.59; 0.01; 2.59; 0.01;0;J212506.60+480233.3;21250658+4802333
*; 636;21 25 05.5;+48 03 45;14.74; 0.01; 0.79; 0.01; -0.03; 0.01;  0.71; 0.01; 2.72; 0.00;0;J212505.53+480345.4;21250553+4803454
 ; 637;21 25 05.5;+48 00 41;15.61; 0.01; 0.88; 0.01; -0.08; 0.02;  0.66; 0.01; 2.71; 0.00;0;J212505.53+480041.2;21250553+4800413
 ; 638;21 25 05.4;+47 56 17;16.45; 0.02; 0.85; 0.01;  0.57; 0.01;  0.10; 0.03; 2.50; 0.01;0;J212505.37+475616.8;21250535+4756166
*; 639;21 25 05.3;+48 01 01;16.57; 0.01; 0.71; 0.01;  0.02; 0.02;  0.96; 0.01; 2.85; 0.01;0;J212505.35+480101.0;21250535+4801009
*; 640;21 25 04.6;+48 02 13;14.55; 0.01; 0.55; 0.01; -0.01; 0.01;  1.17; 0.01; 2.96; 0.00;0;J212504.61+480212.7;21250460+4802127
 ; 641;21 25 04.2;+47 54 10;16.19; 0.01; 0.80; 0.01;  0.12; 0.03;  0.41; 0.01; 2.58; 0.00;0;J212504.13+475409.6;21250412+4754095
 ; 642;21 25 04.0;+48 03 11;12.78; 0.01; 1.32; 0.01;  0.26; 0.01;  0.52; 0.01; 2.61; 0.01;0;                   ;21250395+4803106
*; 643;21 25 02.7;+47 58 54;16.25; 0.01; 0.90; 0.01;  0.01; 0.01;  0.95; 0.03; 2.82; 0.00;0;J212502.75+475853.4;21250274+4758535
*; 644;21 25 02.5;+47 59 42;15.99; 0.01; 0.67; 0.01;  0.06; 0.02;  1.08; 0.01; 2.92; 0.01;0;J212502.51+475941.3;21250251+4759413
 ; 645;21 25 02.4;+48 04 40;14.03; 0.01; 0.62; 0.01;  0.18; 0.01;  0.53; 0.01; 2.63; 0.00;0;J212502.42+480440.3;21250242+4804403
*; 646;21 25 02.1;+47 57 07;16.23; 0.01; 0.91; 0.01;  0.00; 0.01;  1.02; 0.01; 2.83; 0.01;0;J212502.07+475706.7;21250206+4757066
*; 647;21 25 00.8;+48 04 16;16.17; 0.01; 0.60; 0.01;  0.05; 0.01;  0.94; 0.01; 2.81; 0.01;0;J212500.76+480415.8;21250076+4804157
*; 648;21 25 00.3;+48 00 26;12.36; 0.00; 0.61; 0.00; -0.18; 0.00;  0.21; 0.00; 2.62; 0.00;1;J212500.34+480025.6;21250033+4800256
 ; 649;21 24 59.8;+48 02 34;15.71; 0.01; 0.85; 0.01; -0.08; 0.01;  0.70; 0.01; 2.68; 0.00;0;J212459.76+480234.3;21245976+4802342
 ; 650;21 24 59.2;+47 57 41;13.72; 0.01; 0.56; 0.01;  0.08; 0.01;  0.56; 0.00; 2.69; 0.00;0;J212459.20+475740.4;21245919+4757402
 ; 651;21 24 59.2;+47 57 03;15.50; 0.01; 0.65; 0.01;  0.46; 0.01;  0.32; 0.01; 2.54; 0.01;0;J212459.17+475702.9;21245917+4757029
*; 652;21 24 59.0;+48 02 50;14.85; 0.00; 0.69; 0.01;  0.00; 0.01;  1.01; 0.01; 2.81; 0.00;0;J212458.98+480249.8;21245897+4802498
 ; 653;21 24 58.1;+48 01 50;16.49; 0.01; 0.90; 0.01; -0.07; 0.01;  0.61; 0.01; 2.66; 0.01;0;J212458.09+480149.5;21245809+4801494
*; 654;21 24 58.0;+48 04 17;16.15; 0.01; 0.66; 0.01;  0.01; 0.01;  0.71; 0.01; 2.74; 0.00;0;J212458.00+480417.1;21245798+4804170
*; 655;21 24 57.9;+47 59 19;13.82; 0.01; 0.54; 0.01; -0.07; 0.01;  1.04; 0.01; 2.81; 0.00;0;J212457.90+475918.7;21245789+4759187
*; 656;21 24 57.3;+47 58 39;14.11; 0.01; 0.59; 0.01;  0.02; 0.01;  1.02; 0.00; 2.89; 0.01;0;J212457.35+475838.4;21245735+4758383
*; 657;21 24 56.1;+48 03 30;14.16; 0.00; 0.64; 0.00;  0.08; 0.01;  0.99; 0.00; 2.81; 0.01;0;J212456.11+480329.6;21245611+4803296
*; 658;21 24 54.9;+47 59 56;15.50; 0.01; 0.65; 0.01; -0.10; 0.01;  1.03; 0.01; 2.86; 0.01;0;J212454.95+475955.4;21245494+4759553
*; 659;21 24 54.0;+47 58 22;15.76; 0.01; 0.82; 0.01; -0.12; 0.01;  1.32; 0.01; 2.87; 0.01;0;J212454.05+475822.0;21245405+4758220
 ; 660;21 24 54.0;+48 01 03;15.79; 0.01; 0.88; 0.01; -0.06; 0.02;  0.64; 0.02; 2.66; 0.01;0;J212454.02+480102.7;21245402+4801027
*; 661;21 24 53.6;+48 03 34;16.12; 0.01; 0.69; 0.01;  0.02; 0.01;  0.77; 0.01; 2.75; 0.01;0;J212453.53+480333.5;21245354+4803334
 ; 662;21 24 53.4;+48 04 32;15.72; 0.01; 0.79; 0.01; -0.01; 0.01;  0.62; 0.01; 2.67; 0.00;0;J212453.39+480432.3;21245339+4804322
*; 663;21 24 53.4;+47 54 04;15.48; 0.02; 0.78; 0.02; -0.03; 0.03;  1.29; 0.01; 2.88; 0.00;0;J212453.27+475404.4;21245328+4754044
 ; 664;21 24 52.5;+48 02 43;16.18; 0.01; 0.82; 0.01; -0.04; 0.01;  0.69; 0.02; 2.68; 0.00;0;J212452.47+480243.1;21245247+4802431
 ; 665;21 24 52.4;+47 56 12;14.65; 0.01; 1.06; 0.01; -0.10; 0.01;  0.82; 0.00; 2.70; 0.00;0;J212452.43+475611.6;21245243+4756115
