#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:26:10 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:26:10	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/615/A12/tablec&-order=I&-out=Tab&-out=Name&-out=StarID&-out=RA_ICRS&-out=DE_ICRS&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=plx&-out=e_plx&-out=Mass&-out=Bmag&-out=e_Bmag&-out=Vmag&-out=e_Vmag&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Ksmag&-out=e_Ksmag&-out=Gmag&-out=Flag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36150012
#Name: J/A+A/615/A12
#Title: 24 nearby open clusters TGAS and HSOY reanalysis (Yen+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/a+a/615/a12	    IVOID of underlying data collection
#INFO	creator=Yen S.X.	    First author or institution
#INFO	cites=bibcode:2018A&A...615A..12Y	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/615/A12	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36150012	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-09-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H:	ICRS
#Table	J_A_A_615_A12_tablec:
#Name: J/A+A/615/A12/tablec
#Title: Membership lists for 24 clusters
#Column	Tab	(A3)	Table name (C1-C24)	[ucd=meta.id;meta.table]
#Column	Name	(a13)	Cluster name (as in table1)	[ucd=meta.id.parent]
#Column	StarID	(I19)	Gaia DR1 Source ID or Hipparcos identifier	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F12.8)	Right ascension (ICRS)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F12.8)	Declination (ICRS)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F6.2)	Proper motion in RA*cos(DE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	Standard error of proper motion in RA*cos(DE)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.2)	Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	Standard error of proper motion in DE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	plx	(F5.2)	? Stellar parallax from TGAS or Hipparcos	[ucd=pos.parallax.trig]
#Column	e_plx	(F5.2)	? Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	Mass	(F5.2)	Stellar mass	[ucd=phys.mass]
#Column	Bmag	(F6.3)	? B magnitude in Johnson system	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F6.3)	? Error of B magnitude	[ucd=stat.error;phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	? V magnitude in Johnson system	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? Error of V magnitude	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Jmag	(F6.3)	? 2MASS J magnitude	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F6.3)	? Error of J magnitude	[ucd=stat.error;phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	? 2MASS H magnitude	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F6.3)	? Error of H magnitude	[ucd=stat.error;phot.mag;em.IR.H]
#Column	Ksmag	(F6.3)	? 2MASS Ks magnitude	[ucd=phot.mag;em.IR.K]
#Column	e_Ksmag	(F6.3)	? Error of Ks magnitude	[ucd=stat.error;phot.mag;em.IR.K]
#Column	Gmag	(F6.3)	? Gaia G-band mean magnitude	[ucd=phot.mag;em.opt.R]
#Column	Flag	(I1)	Flag for catalog (1)	[ucd=meta.code.error]
Tab;Name;StarID;RA_ICRS;DE_ICRS;pmRA;e_pmRA;pmDE;e_pmDE;plx;e_plx;Mass;Bmag;e_Bmag;Vmag;e_Vmag;Jmag;e_Jmag;Hmag;e_Hmag;Ksmag;e_Ksmag;Gmag;Flag
# ; ; ;deg;deg;mas/yr;mas/yr;mas/yr;mas/#yr;mas;mas;Msun;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;
#---;-------------;-------------------;------------;------------;------;-----;------;-----;-----;-----;-----;------;------;------;------;------;------;------;------;------;------;------;-
C1 ;Blanco 1     ;             117932;358.81948838;-31.88427407; 17.81; 0.68;  1.58; 0.39; 3.21; 0.86; 3.40; 6.757; 0.004; 6.827; 0.004; 6.962; 0.030; 7.020; 0.043; 7.056; 0.030;      ;3
C1 ;Blanco 1     ;2314659683719407488;358.91920405;-31.38371740; 18.13; 2.14;  5.33; 2.14;     ;     ; 0.33;      ;      ;      ;      ;14.685; 0.043;14.089; 0.057;13.810; 0.057;17.335;2
C1 ;Blanco 1     ;2326686348062359808;358.73543568;-31.01011905; 16.32; 2.16;  0.70; 2.16;     ;     ; 0.45;      ;      ;      ;      ;13.812; 0.030;13.162; 0.030;12.970; 0.035;16.569;2
C1 ;Blanco 1     ;2314729915025025792;359.96073855;-31.04924808; 20.19; 2.64;  0.45; 2.63;     ;     ; 0.22;      ;      ;      ;      ;15.321; 0.048;14.621; 0.050;14.300; 0.070;18.472;2
C1 ;Blanco 1     ;2327183292958268416;358.10898498;-29.39607384; 18.43; 2.12; -0.55; 2.12;     ;     ; 0.65;      ;      ;      ;      ;12.578; 0.030;11.876; 0.030;11.765; 0.030;14.271;2
C1 ;Blanco 1     ;2326883607322746880;358.91578963;-30.30623221; 20.39; 2.14;  2.11; 2.14;     ;     ; 0.78;      ;      ;      ;      ;11.904; 0.030;11.402; 0.030;11.305; 0.030;13.356;2
C1 ;Blanco 1     ;2314792140511305984;359.88287399;-30.69698011; 18.59; 2.62;  2.90; 2.62;     ;     ; 0.20;      ;      ;      ;      ;15.626; 0.057;14.989; 0.061;14.600; 0.089;18.680;2
C1 ;Blanco 1     ;2314819662661776256;359.93637552;-30.55615863; 16.40; 2.67;  3.50; 2.67;     ;     ; 0.20;      ;      ;      ;      ;15.598; 0.052;14.905; 0.068;14.604; 0.085;18.715;2
C1 ;Blanco 1     ;2314809251661057408;359.76288951;-30.53356255; 19.22; 2.14;  2.12; 2.14;     ;     ; 0.65;      ;      ;      ;      ;12.444; 0.030;11.780; 0.030;11.663; 0.030;14.305;2
C1 ;Blanco 1     ;2314832685002633088;359.81535867;-30.50015075; 17.08; 2.14;  2.84; 2.14;     ;     ; 0.70;      ;      ;      ;      ;12.413; 0.030;11.754; 0.030;11.644; 0.030;14.134;2
C1 ;Blanco 1     ;2326866942847101824;359.46787636;-30.08831926; 18.50; 0.72;  2.38; 0.65; 4.14; 0.28; 1.00;13.161; 0.219;12.265; 0.129;10.835; 0.030;10.450; 0.030;10.402; 0.030;11.908;1
C1 ;Blanco 1     ;2326849247581847296;359.58385572;-30.28096055; 18.40; 0.70;  2.71; 0.66; 4.39; 0.29; 1.45;10.406; 0.024;10.031; 0.024; 9.423; 0.030; 9.150; 0.030; 9.194; 0.030; 9.943;1
C1 ;Blanco 1     ;2326850415812950656;359.75974967;-30.22142704; 16.05; 0.82;  2.77; 0.65; 4.05; 0.31; 1.25;11.269; 0.052;10.755; 0.043; 9.927; 0.030; 9.636; 0.030; 9.585; 0.030;10.718;1
C1 ;Blanco 1     ;2314839522590606336;359.81446772;-30.29955476; 16.76; 2.65;  1.72; 2.63;     ;     ; 0.25;      ;      ;      ;      ;15.119; 0.035;14.504; 0.041;14.265; 0.068;18.202;2
C1 ;Blanco 1     ;2314842683686541056;359.98224946;-30.25634997; 17.10; 2.14; -1.29; 2.14;     ;     ; 0.30;      ;      ;      ;      ;14.758; 0.030;14.105; 0.030;13.821; 0.041;17.546;2
C1 ;Blanco 1     ;2314847253531620864;359.82644456;-30.17126204; 18.84; 1.18;  1.31; 1.18;     ;     ; 0.90;      ;      ;      ;      ;11.201; 0.030;10.820; 0.030;10.772; 0.030;12.330;2
C1 ;Blanco 1     ;2327174118908356608;358.46924866;-29.42047109; 18.53; 2.12;  3.47; 2.12;     ;     ; 0.85;      ;      ;      ;      ;11.458; 0.030;11.126; 0.030;11.052; 0.030;12.548;2
C1 ;Blanco 1     ;2327130344604342016;359.02123793;-29.56040498; 20.38; 2.34;  2.06; 2.31;     ;     ; 0.45;      ;      ;      ;      ;13.854; 0.032;13.169; 0.035;12.993; 0.034;16.357;2
C1 ;Blanco 1     ;2327132749783474432;359.08485844;-29.46549389; 15.47; 2.12;  3.35; 2.12;     ;     ; 0.40;      ;      ;      ;      ;14.243; 0.030;13.617; 0.030;13.286; 0.032;17.120;2
