#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:22:03 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:22:03	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/542/A68/table3&-order=I&-out=Seq&-out=Xpos&-out=Ypos&-out=Bmag&-out=e_Bmag&-out=Vmag&-out=e_Vmag&-out=Rcmag&-out=e_Rcmag&-out=Icmag&-out=e_Icmag&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35420068
#Name: J/A+A/542/A68
#Title: NGC 3231, 7055 and 7127 BVRI photometry (Paunzen+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/542/a68	    IVOID of underlying data collection
#INFO	creator=Paunzen E.	    First author or institution
#INFO	cites=bibcode:2012A&A...542A..68P	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/542/A68	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35420068	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_542_A68_table3:
#Name: J/A+A/542/A68/table3
#Title: Observed program stars of NGC 7127
#Column	Seq	(I3)	Stars number sorted after X and Y, within the cluster	[ucd=meta.id;meta.main]
#Column	Xpos	(F6.2)	X coordinate (scale 0.9"/pix)	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F6.2)	Y coordinate (scale 0.9"/pix)	[ucd=pos.cartesian.y;instr.det]
#Column	Bmag	(F6.3)	? Johnson-Cousins B magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F6.3)	? Error in B magnitude	[ucd=stat.error;phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	? Johnson-Cousins V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? Error in V magnitude	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Rcmag	(F6.3)	? Johnson-Cousins R magnitude	[ucd=phot.mag;em.opt.R]
#Column	e_Rcmag	(F6.3)	? Error in R magnitude	[ucd=stat.error;phot.mag;em.opt.R]
#Column	Icmag	(F6.3)	? Johnson-Cousins I magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Icmag	(F6.3)	? Error in I magnitude	[ucd=stat.error;phot.mag;em.opt.I]
#Column	_RA	(F10.6)	Position computed from a comparison with 2MASS (Cat. II/246) ({sigma}=0.3'') (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Position computed from a comparison with 2MASS (Cat. II/246) ({sigma}=0.3'') (declination part)	[ucd=pos.eq.dec;meta.main]
Seq;Xpos;Ypos;Bmag;e_Bmag;Vmag;e_Vmag;Rcmag;e_Rcmag;Icmag;e_Icmag;_RA;_DE
# ;pix;pix;mag;mag;mag;mag;mag;mag;mag;mag;deg;deg
#---;------;------;------;------;------;------;------;------;------;------;----------;----------
  1;  0.00;320.29;      ;      ;16.454; 0.031;15.895; 0.019;15.594; 0.028;326.121856;+54.610008
  2;  2.46;267.83;      ;      ;16.430; 0.026;15.898; 0.015;15.685; 0.026;326.121187;+54.623813
  3;  3.99;165.60;      ;      ;15.646; 0.014;15.067; 0.008;14.610; 0.010;326.121366;+54.650700
  4; 10.75;125.44;14.730; 0.012;14.317; 0.005;13.888; 0.004;13.736; 0.005;326.118636;+54.661292
  5; 11.65;398.50;      ;      ;15.471; 0.013;14.689; 0.006;14.026; 0.007;326.115901;+54.589501
  6; 15.83;318.55;      ;      ;16.600; 0.036;16.082; 0.023;15.710; 0.030;326.114683;+54.610542
  7; 16.04;383.02;      ;      ;16.537; 0.035;15.845; 0.019;15.310; 0.020;326.114039;+54.593592
  8; 27.63;110.67;      ;      ;16.270; 0.023;15.775; 0.014;15.418; 0.020;326.111087;+54.665257
  9; 28.54;395.78;      ;      ;16.464; 0.030;15.898; 0.017;15.570; 0.025;326.108258;+54.590297
 10; 28.75;326.61;13.849; 0.006;13.448; 0.004;13.177; 0.003;13.037; 0.004;326.108748;+54.608485
 11; 39.33;170.29;      ;      ;16.174; 0.021;15.723; 0.013;15.415; 0.019;326.105264;+54.649638
 12; 45.60;441.71;      ;      ;17.014; 0.049;16.491; 0.030;16.093; 0.040;326.100129;+54.578302
 13; 50.43;280.40;      ;      ;16.725; 0.035;16.135; 0.020;15.795; 0.029;326.099292;+54.620739
 14; 52.02;369.95;      ;      ;15.388; 0.011;14.942; 0.007;      ;      ;326.097818;+54.597201
 15; 54.77; 70.01;      ;      ;      ;      ;16.486; 0.028;15.542; 0.021;326.099089;+54.676079
 16; 55.61;375.77;15.916; 0.036;15.206; 0.010;14.692; 0.006;14.302; 0.008;326.096140;+54.595688
 17; 55.88;345.50;      ;      ;16.311; 0.023;15.729; 0.014;15.242; 0.016;326.096271;+54.603649
 18; 57.12;  0.00;      ;      ;      ;      ;15.423; 0.011;14.681; 0.011;326.098609;+54.694498
 19; 59.82;393.83;      ;      ;16.536; 0.036;15.570; 0.014;14.829; 0.015;326.094078;+54.590960
 20; 60.02; 13.83;      ;      ;17.045; 0.047;16.473; 0.027;      ;      ;326.097173;+54.690875
 21; 66.94;205.99;      ;      ;17.170; 0.052;16.291; 0.022;15.707; 0.025;326.092416;+54.640383
 22; 69.93;376.74;14.777; 0.013;14.330; 0.005;13.985; 0.005;13.916; 0.006;326.089632;+54.595501
 23; 72.79;405.07;      ;      ;16.691; 0.038;15.731; 0.016;14.935; 0.014;326.088097;+54.588066
 24; 74.80; 37.24;      ;      ;16.465; 0.028;15.794; 0.014;15.321; 0.018;326.090253;+54.684791
 25; 77.66;466.85;      ;      ;15.651; 0.013;15.234; 0.009;15.007; 0.013;326.085374;+54.571845
 26; 79.33;309.77;      ;      ;17.220; 0.051;16.530; 0.029;      ;      ;326.085922;+54.613155
 27; 80.55;346.93;      ;      ;16.621; 0.030;16.148; 0.020;15.969; 0.033;326.085059;+54.603390
 28; 84.85;389.96;15.647; 0.028;15.263; 0.010;14.899; 0.007;14.746; 0.011;326.082750;+54.592096
 29; 98.70;181.81;      ;      ;16.013; 0.019;15.400; 0.010;14.919; 0.012;326.078183;+54.646891
 30;101.19; 27.24;      ;      ;16.086; 0.019;15.700; 0.013;15.494; 0.020;326.078331;+54.687544
 31;104.22;199.65;      ;      ;17.070; 0.047;16.441; 0.027;      ;      ;326.075527;+54.642226
 32;108.99;299.40;      ;      ;17.327; 0.061;16.783; 0.040;16.330; 0.050;326.072538;+54.616021
 33;115.45;160.57;      ;      ;15.890; 0.018;15.218; 0.009;14.708; 0.011;326.070745;+54.652554
 34;116.48;321.52;14.812; 0.012;14.517; 0.005;14.297; 0.004;14.251; 0.007;326.068955;+54.610240
 35;117.31;250.51;      ;      ;16.459; 0.027;15.961; 0.018;15.749; 0.029;326.069161;+54.628915
 36;117.63; 80.99;15.060; 0.016;14.708; 0.006;14.416; 0.005;14.307; 0.007;326.070409;+54.673489
 37;124.35;163.95;      ;      ;16.433; 0.032;15.784; 0.018;15.243; 0.022;326.066672;+54.651707
 38;125.17;436.34;      ;      ;16.060; 0.020;15.648; 0.014;15.479; 0.023;326.064070;+54.580090
 39;126.72;392.25;15.168; 0.017;14.687; 0.006;14.323; 0.004;14.164; 0.006;326.063727;+54.591690
 40;130.08;152.13;15.803; 0.037;15.287; 0.011;14.918; 0.008;14.725; 0.013;326.064164;+54.654842
 41;142.17;403.13;      ;      ;16.657; 0.033;16.098; 0.021;15.734; 0.028;326.056626;+54.588901
 42;143.11;464.99;      ;      ;16.758; 0.058;15.808; 0.029;15.084; 0.033;326.055697;+54.572640
 43;143.52;245.05;      ;      ;16.401; 0.026;15.904; 0.015;15.610; 0.023;326.057298;+54.630472
 44;144.55;155.08;      ;      ;16.549; 0.031;16.021; 0.021;15.711; 0.029;326.057562;+54.654133
 45;151.51;325.70;      ;      ;15.401; 0.012;14.288; 0.004;13.106; 0.004;326.053014;+54.609303
 46;155.86;263.75;      ;      ;17.574; 0.079;16.299; 0.023;15.470; 0.021;326.051541;+54.625612
 47;155.89;306.66;      ;      ;      ;      ;16.825; 0.045;15.954; 0.043;326.051180;+54.614330
 48;158.94;476.37;      ;      ;16.520; 0.053;16.011; 0.042;15.938; 0.092;326.048424;+54.569721
 49;161.08;101.66;      ;      ;15.627; 0.014;15.174; 0.008;14.921; 0.012;326.050481;+54.668256
 50;163.90;357.72;      ;      ;      ;      ;16.256; 0.023;15.574; 0.023;326.047130;+54.600941
 51;164.45;288.33;      ;      ;17.430; 0.068;16.561; 0.031;16.146; 0.045;326.047440;+54.619189
 52;168.72;181.75;      ;      ;15.913; 0.017;15.541; 0.012;15.336; 0.018;326.046360;+54.647232
 53;169.88; 92.08;      ;      ;16.982; 0.043;16.304; 0.025;15.907; 0.033;326.046557;+54.670815
 54;173.98;371.34;16.029; 0.039;15.621; 0.014;15.192; 0.009;14.918; 0.012;326.042445;+54.597406
 55;180.70;314.48;      ;      ;      ;      ;16.660; 0.033;16.173; 0.042;326.039850;+54.612387
 56;182.83; 51.12;15.544; 0.027;14.870; 0.007;14.350; 0.004;13.964; 0.006;326.040997;+54.681644
 57;183.24;425.38;      ;      ;16.108; 0.049;15.840; 0.045;15.517; 0.061;326.037809;+54.583239
 58;186.80;481.40;      ;      ;16.475; 0.033;15.995; 0.024;15.676; 0.042;326.035746;+54.568526
 59;187.65; 37.68;15.746; 0.032;15.198; 0.010;14.796; 0.006;14.465; 0.009;326.038912;+54.685200
 60;192.15;400.53;      ;      ;      ;      ;16.124; 0.025;15.230; 0.020;326.033964;+54.589814
 61;195.06;421.84;14.088; 0.008;13.562; 0.005;13.332; 0.004;13.255; 0.006;326.032473;+54.584224
 62;195.30;266.94;      ;      ;16.234; 0.023;15.119; 0.008;14.067; 0.006;326.033599;+54.624954
 63;204.49;433.67;13.973; 0.007;13.410; 0.004;13.129; 0.003;12.988; 0.004;326.028100;+54.581156
 64;207.43;407.87;      ;      ;17.072; 0.058;16.227; 0.026;15.480; 0.026;326.026971;+54.587953
 65;207.69;429.13;13.955; 0.007;13.396; 0.003;13.117; 0.003;12.958; 0.004;326.026684;+54.582364
 66;209.71; 33.03;      ;      ;15.919; 0.017;15.504; 0.011;15.247; 0.017;326.028914;+54.686523
 67;215.35;290.25;      ;      ;16.605; 0.029;15.971; 0.017;15.587; 0.022;326.024307;+54.618915
 68;216.73;373.95;15.575; 0.025;15.142; 0.009;14.789; 0.007;14.548; 0.009;326.023018;+54.596913
 69;218.41;363.10;      ;      ;      ;      ;15.772; 0.016;15.085; 0.017;326.022341;+54.599774
 70;226.56;267.44;      ;      ;16.810; 0.040;16.192; 0.025;15.882; 0.035;326.019396;+54.624963
 71;229.88;203.56;      ;      ;15.426; 0.011;14.426; 0.005;13.528; 0.004;326.018391;+54.641775
 72;231.52;140.61;      ;      ;17.107; 0.046;16.101; 0.020;15.277; 0.017;326.018142;+54.658334
 73;232.53;485.73;      ;      ;16.992; 0.049;16.365; 0.028;      ;      ;326.014968;+54.567593
 74;233.79;325.89;      ;      ;17.022; 0.048;16.420; 0.030;16.072; 0.040;326.015652;+54.609627
 75;238.41;252.82;14.166; 0.008;13.223; 0.003;12.920; 0.002;13.502; 0.004;326.014127;+54.628860
 76;240.55;430.55;      ;      ;17.265; 0.059;16.539; 0.031;16.061; 0.037;326.011762;+54.582138
 77;241.41;344.22;      ;      ;15.762; 0.017;15.369; 0.011;15.185; 0.018;326.012048;+54.604841
 78;241.81;360.84;      ;      ;17.038; 0.065;15.499; 0.013;13.941; 0.006;326.011736;+54.600473
 79;241.82;245.57;13.716; 0.006;13.188; 0.003;12.897; 0.002;12.823; 0.004;326.012635;+54.630782
 80;245.37;179.79;      ;      ;16.893; 0.041;16.237; 0.023;      ;      ;326.011538;+54.648094
 81;245.74;368.87;      ;      ;16.427; 0.032;15.722; 0.016;14.818; 0.013;326.009889;+54.598379
 82;252.20;340.02;      ;      ;16.529; 0.032;15.956; 0.018;15.514; 0.025;326.007182;+54.605993
 83;255.86;224.62;12.723; 0.003;12.245; 0.002;11.939; 0.001;11.877; 0.002;326.006420;+54.636353
 84;255.93; 80.15;      ;      ;16.981; 0.045;16.221; 0.024;15.814; 0.032;326.007517;+54.674340
 85;262.03;482.27;15.520; 0.024;14.505; 0.006;13.778; 0.004;13.148; 0.004;326.001613;+54.568634
 86;262.05;448.70;13.243; 0.005;12.969; 0.002;12.753; 0.002;12.786; 0.003;326.001865;+54.577461
 87;263.51;425.10;      ;      ;15.842; 0.017;15.359; 0.011;15.081; 0.015;326.001386;+54.583672
 88;265.53;100.31;      ;      ;      ;      ;16.715; 0.040;15.741; 0.028;326.002994;+54.669082
 89;266.62;199.29;      ;      ;16.950; 0.043;16.264; 0.024;15.790; 0.030;326.001728;+54.643061
 90;267.78;366.52;12.556; 0.003;12.058; 0.001;11.737; 0.001;11.646; 0.002;325.999902;+54.599094
 91;271.58;295.11;      ;      ;16.539; 0.030;15.987; 0.017;15.646; 0.026;325.998731;+54.617888
 92;271.96;175.54;      ;      ;16.570; 0.032;16.043; 0.020;15.778; 0.032;325.999486;+54.649329
 93;274.99;309.14;      ;      ;17.256; 0.055;16.520; 0.031;16.058; 0.041;325.997073;+54.614214
 94;275.83;242.21;      ;      ;16.196; 0.028;15.268; 0.011;      ;      ;325.997210;+54.631816
 95;277.43; 87.32;      ;      ;16.490; 0.030;14.787; 0.006;12.902; 0.004;325.997684;+54.672550
 96;278.31;273.89;      ;      ;17.011; 0.045;16.344; 0.026;15.862; 0.031;325.995838;+54.623497
 97;279.05;375.36;      ;      ;      ;      ;15.458; 0.014;14.928; 0.015;325.994717;+54.596820
 98;285.92;374.44;      ;      ;      ;      ;15.836; 0.021;15.184; 0.019;325.991606;+54.597092
 99;286.90;238.87;15.450; 0.023;13.848; 0.004;12.644; 0.002;11.384; 0.002;325.992206;+54.632743
100;287.30;171.28;      ;      ;16.530; 0.029;15.444; 0.011;14.474; 0.008;325.992546;+54.650517
101;288.02;343.65;      ;      ;16.817; 0.041;16.276; 0.028;16.090; 0.044;325.990890;+54.605197
102;289.22;257.54;      ;      ;16.024; 0.021;15.572; 0.014;15.271; 0.021;325.991008;+54.627844
103;298.85;413.77;10.851; 0.001;10.622; 0.001;10.416; 0.001;10.202; 0.001;325.985435;+54.586807
104;298.86;413.67;10.851; 0.001;10.622; 0.001;10.416; 0.001;10.202; 0.001;325.985431;+54.586833
105;305.82; 54.76;      ;      ;17.107; 0.056;16.017; 0.020;15.088; 0.017;325.985022;+54.681236
106;309.52;476.48;      ;      ;17.061; 0.054;16.424; 0.033;16.035; 0.042;325.980114;+54.570364
107;311.25;205.57;      ;      ;16.705; 0.034;16.199; 0.022;15.788; 0.028;325.981398;+54.641605
108;311.69;320.76;15.863; 0.035;14.768; 0.008;13.749; 0.004;13.192; 0.005;325.980317;+54.611319
109;315.26;310.71;15.744; 0.031;15.236; 0.011;14.863; 0.008;14.598; 0.010;325.978773;+54.613977
110;316.46;339.23;      ;      ;13.245; 0.004;13.086; 0.003;13.831; 0.007;325.978011;+54.606483
111;318.76;346.41;13.478; 0.005;13.223; 0.003;13.074; 0.003;13.123; 0.005;325.976912;+54.604605
112;319.25;284.14;      ;      ;17.249; 0.060;16.266; 0.025;15.521; 0.022;325.977163;+54.620980
113;320.40; 63.32;15.750; 0.028;15.340; 0.011;14.965; 0.008;14.738; 0.012;325.978324;+54.679048
114;326.41;337.88;      ;      ;      ;      ;15.689; 0.022;15.136; 0.020;325.973503;+54.606881
115;327.38;461.90;12.598; 0.003;12.185; 0.002;11.905; 0.001;11.889; 0.002;325.972123;+54.574275
116;331.36;302.24;14.528; 0.010;13.879; 0.004;13.431; 0.003;13.238; 0.004;325.971526;+54.616273
117;331.40;381.11;12.129; 0.002;11.970; 0.001;11.854; 0.001;12.031; 0.002;325.970910;+54.595535
118;331.50; 30.08;15.677; 0.028;15.224; 0.010;14.838; 0.007;14.613; 0.010;325.973528;+54.687836
119;339.67;480.46;      ;      ;17.089; 0.063;16.199; 0.027;15.465; 0.025;325.966407;+54.569447
120;342.55;146.36;      ;      ;15.766; 0.016;14.907; 0.007;14.146; 0.007;325.967621;+54.657309
121;342.83;342.13;11.817; 0.002;11.614; 0.001;11.478; 0.001;11.550; 0.002;325.966016;+54.605834
122;345.64;164.18;14.273; 0.008;13.592; 0.004;13.198; 0.003;12.965; 0.004;325.966082;+54.652636
123;349.04;399.17;      ;      ;17.120; 0.071;16.586; 0.044;16.380; 0.071;325.962767;+54.590862
124;349.34;276.33;      ;      ;17.082; 0.050;15.886; 0.016;14.884; 0.012;325.963555;+54.623163
125;351.20; 48.21;      ;      ;      ;      ;16.960; 0.048;16.043; 0.040;325.964429;+54.683154
126;353.09;428.42;      ;      ;15.771; 0.016;15.212; 0.010;14.480; 0.009;325.960709;+54.583188
