#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:19:44 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:19:44	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/159/246/table3&-order=I&-out=WOCS&-out=Xpos&-out=Ypos&-out=RAJ2000&-out=DEJ2000&-out=Umag&-out=Bmag&-out=Vmag&-out=Rmag&-out=Imag&-out=NU&-out=NB&-out=NV&-out=NR&-out=NI&-out=U-B&-out=U-V&-out=U-R&-out=U-I&-out=B-V&-out=B-R&-out=B-I&-out=V-R&-out=V-I&-out=R-I&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51590246
#Name: J/AJ/159/246
#Title: WIYN open cluster study. LXXX. Photometry of NGC 7142 (Sun+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/aj/159/246	    IVOID of underlying data collection
#INFO	creator=Sun Q.	    First author or institution
#INFO	cites=bibcode:2020AJ....159..246S	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/159/246	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51590246	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_159_246_table3:
#Name: J/AJ/159/246/table3
#Title: Photometry for stars in NGC 7142
#Column	WOCS	(I6)	[1001/429028] WOCS identifier (1)	[ucd=meta.id;meta.main]
#Column	Xpos	(F8.3)	[-74/4099] X coordinate	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F8.3)	[2/4112] Y coordinate	[ucd=pos.cartesian.y;instr.det]
#Column	RAJ2000	(A11)	[21] Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	[65/66] Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Umag	(F6.3)	[10.6/20.4]? U magnitude ({lambda}~360nm)	[ucd=phot.mag;em.opt.U]
#Column	Bmag	(F6.3)	[10.6/22]? B magnitude ({lambda}~450nm)	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	[10/21.8] V magnitude ({lamba}~555nm)	[ucd=phot.mag;em.opt.V]
#Column	Rmag	(F6.3)	[9.2/20.7]? R magnitude ({lambda}~660nm)	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F6.3)	[8.5/19.9]? I magnitude ({lambda}~0.87{mu}m)	[ucd=phot.mag;em.opt.I]
#Column	NU	(I2)	[0/10] Number of observation for U band	[ucd=meta.number]
#Column	NB	(I2)	[0/13] Number of observation for B band	[ucd=meta.number]
#Column	NV	(I2)	[1/13] Number of observation for V band	[ucd=meta.number]
#Column	NR	(I2)	[0/13] Number of observation for R band	[ucd=meta.number]
#Column	NI	(I2)	[0/13] Number of observation for I band	[ucd=meta.number]
#Column	U-B	(F6.3)	[-0.15/2.47]? U-B color	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	U-V	(F6.3)	[-0.09/4.61]? U-V color	[ucd=phot.color;em.opt.U;em.opt.V]
#Column	U-R	(F6.3)	[0.37/6.02]? U-R color	[ucd=phot.mag]
#Column	U-I	(F6.3)	[0.54/7.53]? U-I color	[ucd=phot.mag]
#Column	B-V	(F6.3)	[0.06/2.23]? B-V color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	B-R	(F6.3)	[0.26/3.97]? B-R color	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	B-I	(F6.3)	[0.43/5.87]? B-I color	[ucd=phot.color;em.opt.B;em.opt.I]
#Column	V-R	(F6.3)	[0.07/4.01]? V-R color	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F6.3)	[0.24/6.84]? V-I color	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	R-I	(F6.3)	[0.09/2.84]? R-I color	[ucd=phot.color;em.opt.R;em.opt.I]
WOCS;Xpos;Ypos;RAJ2000;DEJ2000;Umag;Bmag;Vmag;Rmag;Imag;NU;NB;NV;NR;NI;U-B;U-V;U-R;U-I;B-V;B-R;B-I;V-R;V-I;R-I
# ;pix;pix;"h:m:s";"d:m:s";mag;mag;mag;mag;mag; ; ; ; ; ;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag
#------;--------;--------;-----------;-----------;------;------;------;------;------;--;--;--;--;--;------;------;------;------;------;------;------;------;------;------
  1017;1168.293;2899.344;21 44 13.55;+65 52 38.2;10.830;10.680;10.064; 9.703;      ; 6; 7; 2; 1; 0; 0.150; 0.766; 1.127;      ; 0.616; 0.977;      ; 0.361;      ;
  1010;2659.383;2238.156;21 45 56.15;+65 47 47.2;10.632;10.642;10.154;      ; 9.633; 5; 5; 2; 0; 1;-0.010; 0.478;      ; 0.999; 0.488;      ; 1.009;      ; 0.521;
  1732;3595.243; 559.820;21 46 58.15;+65 35 45.5;13.682;11.830;10.206; 9.277;      ; 6; 7; 3; 2; 0; 1.852; 3.476; 4.405;      ; 1.624; 2.553;      ; 0.929;      ;
  1016;2954.589;1591.814;21 46 15.66;+65 43 09.9;14.219;12.118;10.362; 9.438;      ;10; 6; 2; 2; 0; 2.101; 3.857; 4.781;      ; 1.756; 2.680;      ; 0.923;      ;
  1026;3492.368;1063.982;21 46 51.89;+65 39 20.7;12.431;11.531;10.394; 9.805;      ; 6; 5; 3; 3; 0; 0.900; 2.037; 2.626;      ; 1.137; 1.726;      ; 0.589;      ;
  1007;2112.292;2539.143;21 45 18.65;+65 49 59.4;13.188;12.035;10.754;10.122;      ; 9; 6; 4; 2; 0; 1.153; 2.435; 3.067;      ; 1.282; 1.914;      ; 0.632;      ;
  1739;  23.962; 280.879;21 42 52.72;+65 34 08.0;15.067;12.856;11.045; 9.952;      ; 4; 4; 4; 2; 0; 2.211; 4.022; 5.114;      ; 1.811; 2.903;      ; 1.093;      ;
  2026; 540.506;1101.242;21 43 28.77;+65 39 56.0;11.914;11.784;11.179;10.804;10.434; 7; 8; 4; 6; 2; 0.130; 0.735; 1.111; 1.480; 0.605; 0.981; 1.350; 0.375; 0.745; 0.370
  1730;4035.876;2292.396;21 47 31.45;+65 47 57.4;12.097;11.955;11.289;10.925;10.545; 6; 5; 3; 5; 2; 0.143; 0.809; 1.173; 1.552; 0.666; 1.030; 1.409; 0.364; 0.743; 0.380
  1019;1059.532;2945.626;21 44 06.04;+65 52 58.5;12.510;12.133;11.329;10.923;10.497; 6; 9; 2; 7; 2; 0.377; 1.181; 1.587; 2.013; 0.804; 1.210; 1.636; 0.406; 0.832; 0.426
  1734;3461.476; 247.909;21 46 48.49;+65 33 34.2;11.860;11.654;11.364;11.220;11.029; 5; 7; 3; 6; 6; 0.207; 0.496; 0.640; 0.831; 0.289; 0.434; 0.625; 0.144; 0.335; 0.191
  1025;3291.955;3224.950;21 46 41.42;+65 54 41.5;12.147;12.058;11.459;11.142;10.801; 7; 5; 2; 3; 4; 0.089; 0.688; 1.005; 1.346; 0.599; 0.916; 1.257; 0.317; 0.658; 0.341
  1733; 182.190; 747.833;21 43 03.87;+65 37 26.6;11.954;11.932;11.470;11.178;10.936; 5; 7; 4; 5; 4; 0.022; 0.484; 0.776; 1.018; 0.462; 0.754; 0.996; 0.292; 0.534; 0.242
  1027;3227.529;3446.365;21 46 37.28;+65 56 16.3;11.985;11.875;11.683;11.612;11.438; 7; 9; 5; 5; 8; 0.110; 0.303; 0.373; 0.547; 0.192; 0.263; 0.437; 0.070; 0.244; 0.174
  2027;2483.491;3843.887;21 45 46.02;+65 59 11.6;12.590;12.362;11.752;11.386;11.145; 8; 3; 4; 4; 3; 0.228; 0.838; 1.204; 1.444; 0.610; 0.976; 1.216; 0.366; 0.607; 0.240
  1021; 669.758;1452.403;21 43 37.92;+65 42 25.0;12.702;12.506;11.838;11.456;11.114; 3; 7; 4; 1; 2; 0.196; 0.865; 1.246; 1.588; 0.668; 1.050; 1.392; 0.382; 0.723; 0.342
  2734; 491.880;3885.359;21 43 27.29;+65 59 40.2;12.634;12.500;11.904;11.540;11.186; 6; 5; 5; 3; 3; 0.134; 0.729; 1.094; 1.448; 0.596; 0.960; 1.314; 0.365; 0.718; 0.354
  1731;2701.841;4072.446;21 46 01.55;+66 00 47.2;14.575;13.369;11.945;11.151;10.383; 6;10; 8; 5; 4; 1.206; 2.630; 3.424; 4.192; 1.424; 2.217; 2.986; 0.794; 1.562; 0.768
  3027; 452.890;3134.981;21 43 24.07;+65 54 21.6;14.615;13.403;12.030;11.248;10.517; 5; 8; 8; 5; 2; 1.212; 2.585; 3.367; 4.099; 1.372; 2.155; 2.886; 0.782; 1.514; 0.731
  1003;1888.843;1926.911;21 45 02.51;+65 45 40.4;16.171;13.928;12.105;11.103;10.123; 5; 7; 8; 4; 2; 2.243; 4.066; 5.068; 6.048; 1.824; 2.826; 3.805; 1.002; 1.982; 0.980
  3734;3967.908;3374.832;21 47 28.68;+65 55 38.6;12.824;12.765;12.210;11.895;11.583; 5; 8; 8; 3; 8; 0.060; 0.614; 0.929; 1.241; 0.554; 0.869; 1.181; 0.315; 0.627; 0.312
  1028;2227.717;3993.967;21 45 28.37;+66 00 17.3;16.027;14.366;12.360;10.401; 8.501; 4; 7; 8; 5; 1; 1.661; 3.667; 5.626; 7.526; 2.006; 3.965; 5.865; 1.959; 3.859; 1.900
  2025;2462.974; 404.590;21 45 40.29;+65 34 48.9;14.995;13.776;12.426;11.686;10.984; 5; 8; 6; 2; 3; 1.219; 2.569; 3.309; 4.011; 1.350; 2.090; 2.792; 0.740; 1.442; 0.702
  2730;2645.228;  94.094;21 45 52.39;+65 32 35.6;13.316;13.111;12.438;12.050;11.693; 7; 9; 6; 3; 5; 0.205; 0.877; 1.266; 1.622; 0.672; 1.061; 1.418; 0.389; 0.745; 0.357
  2007;2422.012;2124.757;21 45 39.59;+65 47 00.8;13.162;13.098;12.444;12.094;11.719; 9; 6; 7; 7; 7; 0.063; 0.718; 1.068; 1.442; 0.654; 1.005; 1.379; 0.350; 0.725; 0.374
  1022;1787.773;3555.503;21 44 57.23;+65 57 13.7;16.377;14.251;12.486;11.432;10.500; 2; 9; 8; 5; 2; 2.126; 3.891; 4.945; 5.877; 1.765; 2.819; 3.751; 1.054; 1.986; 0.932
  2021;3432.834;2025.020;21 46 49.31;+65 46 09.8;16.439;14.285;12.508;11.529;10.567; 4; 8; 5; 3; 3; 2.155; 3.931; 4.911; 5.872; 1.777; 2.756; 3.718; 0.979; 1.941; 0.962
