#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:22:37 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:22:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/401/531/table8&-order=I&-out=Seq&-out=NL&-out=RA2000&-out=DE2000&-out=Np&-out=pmX&-out=e_pmX&-out=pmY&-out=e_pmY&-out=Vmag&-out=B-V&-out=Prob&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34010531
#Name: J/A+A/401/531
#Title: Proper motions in NGC 7243 (Jilinski+, 2003)
#INFO	ivoid=ivo://cds.vizier/j/a+a/401/531	    IVOID of underlying data collection
#INFO	creator=Jilinski E.G.	    First author or institution
#INFO	cites=bibcode:2003A&A...401..531J	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/401/531	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34010531	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-09-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_1949.830:	eq_FK5 J2000
#Table	J_A_A_401_531_table8:
#Name: J/A+A/401/531/table8
#Title: Star positions, proper motions, BV photometry, and membership probabilities
#Column	Seq	(I4)	[1/2623] Sequence number of the star	[ucd=meta.id]
#Column	NL	(I3)	[]? Identification from Lengauer (1)	[ucd=meta.id]
#Column	RA2000	(A11)	Right Ascension Eq=2000.0, Ep=1949.83 (3)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A11)	Declination	[ucd=pos.eq.dec;meta.main]
#Column	Np	(I2)	? Number of astrometric plate pairs used	[ucd=meta.id;instr.plate]
#Column	pmX	(F5.1)	? Relative proper motions in X	[ucd=pos.pm;pos.cartesian.x]
#Column	e_pmX	(F4.1)	? Standard error in pmX	[ucd=stat.error]
#Column	pmY	(F5.1)	? Relative proper motions in Y	[ucd=pos.pm;pos.cartesian.y]
#Column	e_pmY	(F4.1)	? Standard error in pmY	[ucd=stat.error]
#Column	Vmag	(F6.3)	? V magnitude of a star	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? (B-V) colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Prob	(I2)	? Membership probability	[ucd=stat]
#Column	_RA.icrs	(A11)	Right ascension (ICRS) at Epoch=J1949.83 (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A11)	Declination (ICRS) at Epoch=J1949.83 (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Seq;NL;RA2000;DE2000;Np;pmX;e_pmX;pmY;e_pmY;Vmag;B-V;Prob;_RA.icrs;_DE.icrs
# ; ;"h:m:s";"d:m:s"; ;mas/yr;mas/yr;mas/yr;mas/yr;mag;mag;%;"h:m:s";"d:m:s"
#----;---;-----------;-----------;--;-----;----;-----;----;------;------;--;-----------;-----------
   1;   ;22 10 42.86;+49 17 39.2; 9;  1.7; 1.0;  0.9; 1.2;11.450; 1.200;97;22 10 42.94;+49 17 39.2
   2;   ;22 10 46.88;+49 16 44.2; 9;  1.0; 1.7; -2.3; 1.6;13.400; 0.770;62;22 10 46.96;+49 16 44.2
   3;   ;22 10 48.33;+49 19 02.6; 9;  8.4; 1.0; -9.8; 0.8;11.780; 0.740; 0;22 10 48.41;+49 19 02.6
   4;   ;22 10 49.61;+49 14 59.1; 9; -2.1; 1.2; -0.7; 0.8;11.980; 0.400; 1;22 10 49.69;+49 14 59.1
   5;   ;22 10 53.74;+49 14 14.0; 9;  1.3; 1.3; -1.2; 1.1;10.420; 1.070;93;22 10 53.82;+49 14 14.0
   6;   ;22 10 59.05;+49 15 05.9; 7; -4.4; 1.5;  2.1; 1.0;14.120; 0.840; 0;22 10 59.13;+49 15 05.9
   7;   ;22 10 58.75;+49 17 05.0; 9; -2.4; 1.0;  1.3; 0.7;11.590; 1.660; 0;22 10 58.83;+49 17 05.0
   8;   ;22 11 03.49;+49 16 25.1; 9; -5.2; 1.0; -3.6; 0.6;11.990; 1.400; 0;22 11 03.57;+49 16 25.1
   9;   ;22 11 10.34;+49 16 07.9; 8; -3.0; 1.1;  2.0; 1.5;14.120; 0.630; 0;22 11 10.42;+49 16 07.9
  10;   ;22 11 14.19;+49 16 11.3; 9; -3.3; 1.1;  2.0; 1.2;11.120; 1.180; 0;22 11 14.27;+49 16 11.3
  11;   ;22 11 05.46;+49 19 12.3; 9; -3.6; 1.2; -1.8; 1.1;13.540; 0.420; 0;22 11 05.54;+49 19 12.3
  12;   ;22 11 21.96;+49 15 32.5; 8;  1.9; 1.7; -7.7; 1.4;13.600; 0.910; 0;22 11 22.04;+49 15 32.5
  13;   ;22 11 26.16;+49 15 42.0; 9; 20.9; 1.2;-14.1; 1.5;13.150; 1.040; 0;22 11 26.24;+49 15 42.0
  14;   ;22 11 24.15;+49 18 28.4; 9;  5.1; 0.7;  6.2; 0.5;12.350; 0.660; 0;22 11 24.23;+49 18 28.4
  15;   ;22 11 26.46;+49 18 14.1; 8; 14.8; 1.6; -1.4; 1.0;13.530; 0.930; 0;22 11 26.54;+49 18 14.1
  16;   ;22 11 30.70;+49 19 22.1; 9; -0.8; 1.0;  1.1; 1.1;14.010; 0.370;26;22 11 30.78;+49 19 22.1
  17;   ;22 11 31.84;+49 18 20.1; 9; -0.3; 0.5;  4.3; 0.9;12.020; 1.300; 0;22 11 31.92;+49 18 20.1
  18;   ;22 11 35.16;+49 17 23.3; 9; -1.9; 1.1; -2.6; 1.3;12.460; 1.620; 0;22 11 35.24;+49 17 23.3
  19;   ;22 11 45.22;+49 15 40.3; 9;  0.0; 1.0;  2.2; 1.2;12.960; 0.500;38;22 11 45.30;+49 15 40.3
  20;   ;22 11 56.91;+49 16 50.3; 9; -0.3; 0.4;  4.9; 0.4;11.300; 1.430; 0;22 11 56.99;+49 16 50.3
  21;   ;22 11 55.39;+49 17 38.8; 8;  4.1; 0.7;  5.0; 0.9;12.600; 0.750; 0;22 11 55.47;+49 17 38.8
