#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T04:20:25 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T04:20:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/552/A92/table3&-order=I&-out=Seq&-out=M&-out=Webda&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=b-y&-out=e_b-y&-out=c1&-out=e_c1&-out=N&-out=JKS2008&JKS2008=JKS2008&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35520092
#Name: J/A+A/552/A92
#Title: uvby photometry in NGC 7419 (Marco+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/552/a92	    IVOID of underlying data collection
#INFO	creator=Marco A.	    First author or institution
#INFO	cites=bibcode:2013A&A...552A..92M	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/552/A92	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35520092	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_552_A92_table3:
#Name: J/A+A/552/A92/table3
#Title: Photometry and coordinates for stars in the field of NGC 7419
#Column	Seq	(I3)	[2/295] Star sequential number (this paper)	[ucd=meta.record]
#Column	M	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	Webda	(I4)	Star number taken from the Webda database (1)	[ucd=meta.id]
#Column	RAJ2000	(A11)	? Right ascension (J2000) (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	? Declination (J2000) (2)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	rms uncertainty on Vmag (3)	[ucd=stat.error;phot.mag;em.opt.V]
#Column	b-y	(F6.3)	Stroemgren b-y colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_b-y	(F6.3)	rms uncertainty on b-y (3)	[ucd=stat.error;phot.color;em.opt.B]
#Column	c1	(F6.3)	Stroemgren c1 index	[ucd=phot.color]
#Column	e_c1	(F6.3)	rms uncertainty on c1 (3)	[ucd=stat.error]
#Column	N	(I1)	Number of measurements for each magnitude, colour or index	[ucd=meta.number]
#Column	JKS2008	(a7)	Display the Joshi et al. data (2008, Cat. J/MNRAS/391/1279)	[ucd=meta.ref.url]
Seq;M;Webda;RAJ2000;DEJ2000;Vmag;e_Vmag;b-y;e_b-y;c1;e_c1;N;JKS2008
# ; ; ;"h:m:s";"d:m:s";mag;mag;mag;mag;mag;mag; ;
#---;-;----;-----------;------------;------;------;------;------;------;------;-;-------
  2;M; 456;22 54 38.42;+60 45 33.80;18.140; 0.038; 1.089; 0.049; 0.994; 0.088;1;JKS2008
  4;M;1595;22 54 10.55;+60 45 37.20;17.515; 0.037; 1.099; 0.048; 0.382; 0.075;1;JKS2008
  5;M;1593;22 54 04.67;+60 45 40.31;17.406; 0.037; 1.167; 0.048; 0.537; 0.076;1;JKS2008
  6;M;1594;22 54 22.27;+60 45 40.70;16.209; 0.007; 1.221; 0.004; 0.307; 0.097;4;JKS2008
  8; ;1592;22 54 04.19;+60 45 43.00;16.103; 0.016; 0.672; 0.019; 0.224; 0.056;4;JKS2008
  9;M; 390;22 54 31.55;+60 45 44.70;18.187; 0.037; 1.229; 0.048; 0.853; 0.084;1;JKS2008
 11; ; 464;22 54 40.22;+60 45 52.10;15.244; 0.016; 0.625; 0.022; 0.368; 0.034;4;JKS2008
 12;M; 455;22 54 38.30;+60 45 53.90;17.921; 0.037; 1.021; 0.047; 0.789; 0.074;1;JKS2008
 13; ;1590;22 53 57.92;+60 45 59.11;16.338; 0.037; 0.667; 0.048; 0.352; 0.073;1;JKS2008
 14; ;3070;22 54 17.84;+60 46 00.10;17.872; 0.037; 0.915; 0.047;-0.016; 0.081;1;JKS2008
 16; ; 307;22 54 23.92;+60 46 16.40;14.989; 0.009; 0.548; 0.015; 0.300; 0.047;4;JKS2008
 17;M;1587;22 54 01.51;+60 46 17.70;17.630; 0.037; 1.350; 0.048; 0.390; 0.080;1;JKS2008
 18;M; 120;22 54 14.16;+60 46 20.20;15.655; 0.010; 1.126; 0.007; 1.139; 0.030;4;JKS2008
 19; ;1585;22 54 02.86;+60 46 26.81;14.264; 0.036; 0.466; 0.046; 0.364; 0.072;1;JKS2008
 20;M; 133;22 54 14.95;+60 46 28.00;17.537; 0.037; 1.114; 0.047; 0.468; 0.073;1;JKS2008
 22;M;1583;22 54 25.03;+60 46 29.40;16.419; 0.003; 1.074; 0.019; 0.409; 0.090;4;JKS2008
 24;M; 373;22 54 28.98;+60 46 36.30;18.145; 0.037; 1.203; 0.047; 0.722; 0.088;1;JKS2008
 25; ;3059;22 54 02.55;+60 46 38.00;17.732; 0.037; 1.426; 0.047; 0.421; 0.084;1;JKS2008
 26; ; 420;22 54 34.17;+60 46 42.30;14.993; 0.015; 1.157; 0.015; 0.517; 0.043;4;JKS2008
 27;M; 399;22 54 32.18;+60 46 43.20;17.807; 0.037; 1.163; 0.047; 0.638; 0.075;1;JKS2008
 28; ; 369;22 54 28.86;+60 46 43.70;15.079; 0.004; 0.547; 0.014; 0.315; 0.043;4;JKS2008
 30;M; 316;22 54 24.37;+60 47 01.10;17.303; 0.036; 1.195; 0.046; 0.417; 0.070;1;JKS2008
 31;M; 335;22 54 26.24;+60 47 02.50;16.216; 0.007; 1.108; 0.010; 0.385; 0.051;4;JKS2008
 32;M; 431;22 54 36.01;+60 47 03.90;16.799; 0.015; 1.070; 0.022; 0.615; 0.020;4;JKS2008
 33;M; 297;22 54 23.21;+60 47 09.41;17.859; 0.037; 1.165; 0.047; 0.498; 0.076;1;JKS2008
 34;M; 471;22 54 40.65;+60 47 09.80;16.514; 0.006; 1.163; 0.020; 0.422; 0.045;4;JKS2008
 36;M; 216;22 54 18.54;+60 47 13.70;16.627; 0.010; 1.137; 0.016; 0.320; 0.087;4;JKS2008
 37; ; 331;22 54 26.04;+60 47 15.50;17.023; 0.037; 1.179; 0.046; 1.229; 0.073;1;JKS2008
 38;M; 103;22 54 12.68;+60 47 16.90;17.004; 0.036; 1.237; 0.046; 0.318; 0.071;1;JKS2008
