#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:03:41 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:03:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AN/342/538/table2&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=U-B&-out=e_U-B&-out=B-V&-out=e_B-V&-out=Gmag&-out=e_Gmag&-out=BP-RP&-out=e_BP-RP&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Plx&-out=e_Plx&-out=Pmemb&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_113420538
#Name: J/AN/342/538
#Title: Frolov 1 and NGC 7510 CCD UBV photometry (Yontan+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/an/342/538	    IVOID of underlying data collection
#INFO	creator=Yontan T.	    First author or institution
#INFO	cites=bibcode:2021AN....342..538Y	    Article or Data origin sources
#INFO	editor=Astronomische Nachrichten	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AN/342/538	    Dataset landing page
#INFO	publication_date=2022-12-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AN_342_538_table2:
#Name: J/AN/342/538/table2
#Title: Photometric and astrometric catalogue NGC 7510
#Column	ID	(I4)	Sequential number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	Gmag	(F6.3)	? Gaia G magnitude	[ucd=phot.mag;em.opt]
#Column	e_Gmag	(F6.3)	? rms uncertainty on Gmag	[ucd=stat.error;phot.mag]
#Column	BP-RP	(F6.3)	? Gaia BP-RP colour index	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	e_BP-RP	(F6.3)	? rms uncertainty on BP-RP	[ucd=stat.error]
#Column	pmRA	(F8.3)	? proper motion components (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? rms uncertainty on proper motion	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F8.3)	? proper motion components (pmdec)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? rms uncertainty on proper motion	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Plx	(F8.3)	? trigonometric parallax	[ucd=pos.parallax.trig]
#Column	e_Plx	(F6.3)	? rms uncertainty on trigonometric parallax	[ucd=stat.error;pos.parallax]
#Column	Pmemb	(F5.2)	[0/1]? Membership probability	[ucd=stat]
ID;RAJ2000;DEJ2000;Vmag;e_Vmag;U-B;e_U-B;B-V;e_B-V;Gmag;e_Gmag;BP-RP;e_BP-RP;pmRA;e_pmRA;pmDE;e_pmDE;Plx;e_Plx;Pmemb
# ;"h:m:s";"d:m:s";mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mas/yr;mas/yr;mas/yr;mas/yr;mas;mas;%
# ----;-----------;------------;------;------;------;------;------;------;------;------;------;------;--------;------;--------;------;--------;------;-----
   1;23 09 33.22;+60 34 35.71;17.671; 0.019;      ;      ; 1.445; 0.025;17.165; 0.001; 1.782; 0.010;   4.970; 0.115;   0.488; 0.095;   0.972; 0.073; 0.00
   2;23 09 33.43;+60 34 01.35;17.582; 0.018;      ;      ; 1.104; 0.021;17.134; 0.001; 1.643; 0.012;  -3.284; 0.109;  -3.044; 0.092;   0.411; 0.068; 0.06
   3;23 09 33.77;+60 32 50.53;14.691; 0.003; 0.109; 0.005; 1.120; 0.004;14.337; 0.000; 1.592; 0.002;  -3.622; 0.033;  -2.601; 0.028;   0.296; 0.021; 0.29
   4;23 09 33.99;+60 32 04.81;15.451; 0.004; 1.406; 0.021; 1.850; 0.006;14.733; 0.000; 2.201; 0.004;  -4.230; 0.038;  -2.506; 0.034;   0.290; 0.025; 0.02
   5;23 09 34.21;+60 27 03.07;16.469; 0.008;      ;      ; 1.173; 0.013;16.179; 0.002; 1.568; 0.004;  -2.869; 0.647;  -0.823; 0.602;   1.422; 0.431; 0.72
   6;23 09 34.29;+60 33 48.15;12.912; 0.004; 0.161; 0.007; 1.162; 0.006;12.503; 0.000; 1.668; 0.002;  -4.872; 0.041;  -2.043; 0.037;   0.217; 0.026; 0.00
   7;23 09 34.35;+60 39 52.97;17.235; 0.014; 0.624; 0.030; 1.161; 0.017;16.913; 0.001; 1.555; 0.009;  -5.225; 0.103;  -3.665; 0.084;   0.580; 0.057; 0.00
   8;23 09 34.38;+60 39 13.28;18.467; 0.037;      ;      ; 1.332; 0.047;17.859; 0.001; 1.776; 0.028;  -0.576; 0.178;   0.392; 0.158;   0.587; 0.106; 0.00
   9;23 09 34.55;+60 24 59.90;16.110; 0.006; 0.509; 0.011; 0.884; 0.008;15.916; 0.001; 1.237; 0.004;  -4.854; 0.064;  -2.906; 0.067;   0.401; 0.041; 0.00
  10;23 09 34.65;+60 42 08.96;17.416; 0.016; 0.646; 0.036; 1.172; 0.019;16.972; 0.001; 1.732; 0.009;  -3.706; 0.098;  -2.153; 0.084;   0.291; 0.057; 0.98
  11;23 09 34.74;+60 28 32.90;17.428; 0.016; 0.739; 0.040; 1.246; 0.020;17.064; 0.001; 1.621; 0.010;   5.100; 0.126;  -3.093; 0.109;   0.537; 0.083; 0.00
  12;23 09 34.79;+60 35 30.28;17.768; 0.022;      ;      ; 2.650; 0.045;16.301; 0.001; 3.078; 0.011;   0.074; 0.097;  -0.806; 0.086;   0.360; 0.059; 0.00
  13;23 09 34.98;+60 34 52.58;16.509; 0.008; 0.701; 0.018; 1.126; 0.010;16.298; 0.001; 1.456; 0.006;  -3.348; 0.074;  -1.827; 0.061;   0.368; 0.045; 0.71
  14;23 09 35.00;+60 33 27.65;17.785; 0.021; 0.804; 0.066; 1.350; 0.026;17.408; 0.002; 1.761; 0.013;   0.126; 0.420;  -1.295; 0.345;  -1.420; 0.250; 0.00
  15;23 09 35.05;+60 27 34.20;17.019; 0.012; 0.457; 0.021; 1.030; 0.014;16.750; 0.001; 1.454; 0.010;  -4.849; 0.099;  -2.569; 0.087;   0.305; 0.064; 0.00
  16;23 09 35.11;+60 36 09.14;17.998; 0.025; 0.505; 0.071; 1.421; 0.033;17.576; 0.001; 1.716; 0.021;  -0.658; 0.148;  -5.161; 0.126;   0.745; 0.086; 0.00
  17;23 09 35.16;+60 41 35.53;18.009; 0.026; 0.291; 0.047; 0.975; 0.031;17.579; 0.001; 1.547; 0.014;  -2.411; 0.143;  -1.355; 0.119;   0.572; 0.084; 0.00
  18;23 09 35.20;+60 30 36.46;18.481; 0.041;      ;      ; 2.015; 0.065;17.870; 0.001; 2.096; 0.022;  14.972; 0.166;   4.305; 0.140;   1.119; 0.108; 0.00
