#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T05:58:47 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T05:58:47	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=V/28/adjarea&-order=I&-out=ID&-out=X&-out=Y&-out=V&-out=B-V&-out=U-B&-out=pmX&-out=pmY&-out=Cl_mem&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5028
#Name: V/28
#Title: Proper Motions, UBV Photometry, Four Open Clusters (Frolov 1980)
#INFO	ivoid=ivo://cds.vizier/v/28	    IVOID of underlying data collection
#INFO	creator=Frolov V.N.	    First author or institution
#INFO	cites=bibcode:1977IzPul.195...80F	    Article or Data origin sources
#INFO	original_date=1977	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/28	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	V_28_adjarea:
#Name: V/28/adjarea
#Title: Photometry and Proper Motions Data
#Column	ID	(I4)	Star Number	[ucd=meta.id;meta.main]
#Column	X	(F6.2)	X-Coordinate	[ucd=pos.cartesian.x;instr.det]
#Column	Y	(F6.2)	Y-Coordinate	[ucd=pos.cartesian.y;instr.det]
#Column	V	(F5.2)	*? V Magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F5.2)	? U-B color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	pmX	(I4)	X-annual proper motion	[ucd=pos.pm]
#Column	pmY	(I5)	Y-annual proper motion	[ucd=pos.pm]
#Column	Cl_mem	(I4)	*Cluster Membership	[ucd=meta.code.member]
ID;X;Y;V;B-V;U-B;pmX;pmY;Cl_mem
# ;mm;mm;mag;mag;mag;10-4arcmin/a;10-4arcmin/a;
#----;------;------;-----;-----;-----;----;-----;----
   1;-11.60;-23.78;14.51; 1.01;-0.27;-112;  126;   0
   2;-10.64;-23.47;14.33; 1.19;-0.08;-148;  187;   0
   3; -8.21;-23.33;15.48; 0.68;     ; -46;   75;   0
   4; -8.39;-22.86;13.00; 0.94; 0.51; 171;  136;   0
   5;-12.70;-22.33;14.02; 1.06; 0.31;-100;  147;   0
   6;-10.57;-22.13;14.46; 1.01;-0.16; -10;  152;   0
   7; -9.15;-21.75;14.00; 0.73; 0.22; -27;  234;   0
   8; -9.58;-21.56;15.56; 0.64;     ; -54;  249;   0
   9; -8.27;-21.49;13.90; 1.85;     ;  10;  186;   0
  10; -9.55;-20.81;15.20; 0.73;-0.27;  51;   35;   0
  11; -9.44;-20.53;13.42; 0.52; 0.03;   1;   82;   0
  12;-12.73;-20.30;12.81; 1.09; 0.52;  34;   27;   0
  13;-12.07;-19.50;12.68; 0.46; 0.11;  38;   98;   0
  14; -9.69;-19.86;14.83; 0.59;-0.25;  13;  180;   0
  15; -9.47;-19.46;13.18; 0.49; 0.05;  26;  110;   0
  16; -9.34;-19.68;15.07; 0.56;-0.19;  33;    4;   0
  17; -9.18;-19.91;15.30; 0.99;     ;  13;   77;   0
  18; -7.33;-23.72;13.00; 0.48;-0.07; -70;  106;   0
  19; -4.80;-23.74;15.35; 0.88;     ; -63;  233;   0
  20; -4.96;-23.25;13.52; 0.87; 0.18; 127;   96;   0
  21; -5.32;-22.52;13.36; 0.77; 0.04; -24;   81;   0
  22; -5.90;-21.90;15.08; 0.90;     ;  46;  293;   0
  23; -6.11;-21.67;14.48; 1.09;-0.35; -42;  123;   0
  24; -3.12;-21.89;14.52; 0.99;-0.21; -60;  186;   0
  25; -5.78;-20.92;14.40; 1.01;-0.04; -59;  114;   0
  26; -5.16;-20.83;14.80; 0.59; 0.03;-116;  161;   0
  27; -3.72;-20.89;14.48; 0.95;-0.01; -64;  162;   0
  28; -6.02;-20.46;13.92; 0.80; 0.18;   2;   58;   0
  29; -5.36;-20.47;15.19; 0.76;-0.24;-160;  111;   0
  30; -4.90;-20.32;14.68; 0.82;-0.22;-146;   43;   0
