#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T05:56:54 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T05:56:54	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/A+A/376/745/table4&-order=I&-out=Seq&-out=Usmag&-out=e_Usmag&-out=Bsmag&-out=e_Bsmag&-out=Vsmag&-out=e_Vsmag&-out=Rsmag&-out=e_Rsmag&-out=Ismag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33760745
#Name: J/A+A/376/745
#Title: CCD standards for U and I in NGC 7790 (Petrov+, 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/376/745	    IVOID of underlying data collection
#INFO	creator=Petrov G.	    First author or institution
#INFO	cites=bibcode:2001A&A...376..745P	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/376/745	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33760745	    Dataset identifier that can be used for citation
#INFO	publication_date=2001-09-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_376_745_table4:
#Name: J/A+A/376/745/table4
#Title: Magnitudes and errors of all 84 standard stars
#Column	Seq	(I3)	Star number	[ucd=meta.id]
#Column	Usmag	(F6.3)	U magnitude (close to Johnson's U magnitude)	[ucd=phot.mag;em.opt.U]
#Column	e_Usmag	(F7.4)	Photometric error in U	[ucd=stat.error]
#Column	Bsmag	(F6.3)	B magnitude (close to Johnson's B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	e_Bsmag	(F7.4)	Photometric error in B	[ucd=stat.error]
#Column	Vsmag	(F6.3)	V magnitude (close to Johnson's V magnitude)	[ucd=phot.mag;em.opt.V]
#Column	e_Vsmag	(F7.4)	Photometric error in V	[ucd=stat.error]
#Column	Rsmag	(F6.3)	R magnitude (close to Kron/Cousins' R magnitude)	[ucd=phot.mag;em.opt.R]
#Column	e_Rsmag	(F7.4)	Photometric error in R	[ucd=stat.error]
#Column	Ismag	(F6.3)	I magnitude (close to Kron/Cousins' I magnitude)	[ucd=phot.mag;em.opt.I]
Seq;Usmag;e_Usmag;Bsmag;e_Bsmag;Vsmag;e_Vsmag;Rsmag;e_Rsmag;Ismag
# ;mag;mag;mag;mag;mag;mag;mag;mag;mag
#---;------;-------;------;-------;------;-------;------;-------;------
  8;17.144; 0.0130;16.912; 0.0040;16.270; 0.0035;15.904; 0.0056;15.471
  9;18.170; 0.0233;18.045; 0.0060;17.073; 0.0049;16.497; 0.0099;15.887
 10;18.332; 0.0254;18.479; 0.0088;17.550; 0.0060;16.963; 0.0145;16.373
 11;18.222; 0.0360;17.916; 0.0060;17.011; 0.0060;16.466; 0.0090;15.945
 12;18.761; 0.0300;19.010; 0.0113;18.045; 0.0074;17.458; 0.0180;16.899
 16;16.776; 0.0180;16.544; 0.0053;15.946; 0.0063;15.610; 0.0081;15.203
 17;16.395; 0.0102;16.168; 0.0031;15.638; 0.0042;15.333; 0.0056;14.969
 18;19.074; 0.0488;19.119; 0.0131;18.151; 0.0063;17.545; 0.0145;16.928
 20;16.517; 0.0180;16.271; 0.0032;15.717; 0.0042;15.409; 0.0042;15.031
 21;16.838; 0.0344;16.577; 0.0035;16.020; 0.0033;15.709; 0.0040;15.324
 22;18.335; 0.0226;17.204; 0.0071;15.767; 0.0049;14.916; 0.0100;14.029
 23;17.536; 0.0290;16.569; 0.0040;14.999; 0.0035;14.090; 0.0044;13.035
 24;17.344; 0.0170;17.250; 0.0053;16.573; 0.0049;16.610; 0.0057;15.688
 25;16.996; 0.0187;16.781; 0.0035;15.838; 0.0032;15.282; 0.0035;14.696
 26;17.536; 0.0220;17.503; 0.0070;16.731; 0.0060;16.279; 0.0070;15.812
 27;18.424; 0.0265;18.471; 0.0081;17.568; 0.0057;17.016; 0.0177;16.453
 28;17.840; 0.0269;17.587; 0.0050;16.817; 0.0035;16.370; 0.0077;15.892
 29;13.611; 0.0110;13.675; 0.0018;13.289; 0.0028;13.047; 0.0031;12.782
 30;13.838; 0.0110;13.875; 0.0021;13.470; 0.0039;13.217; 0.0039;12.929
 31;14.064; 0.0200;14.094; 0.0030;13.685; 0.0030;13.419; 0.0030;13.122
 32;16.253; 0.0117;15.990; 0.0029;15.410; 0.0046;15.069; 0.0058;14.646
 34;18.635; 0.0320;18.632; 0.0095;17.743; 0.0088;17.201; 0.0205;16.652
 35;18.996; 0.0390;19.490; 0.0191;18.315; 0.0098;17.610; 0.0156;17.007
 36;15.063; 0.0090;15.038; 0.0029;14.551; 0.0042;14.263; 0.0056;13.917
 37;15.330; 0.0152;15.222; 0.0035;14.753; 0.0064;14.479; 0.0040;14.149
 38;17.077; 0.0159;16.816; 0.0046;16.186; 0.0057;15.790; 0.0057;15.348
 39;18.970; 0.0570;18.728; 0.0200;17.640; 0.0120;16.980; 0.0480;16.191
 40;19.362; 0.0760;18.970; 0.0260;17.776; 0.0100;17.067; 0.0420;16.264
