#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-15T04:47:24 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-15T04:47:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/124/1486/m4ubv&-order=I&-out=MKT&-out=Vmag&-out=e_Vmag&-out=B-V&-out=e_B-V&-out=U-B&-out=e_U-B&-out=Note&-out=RAJ2000&-out=DEJ2000&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51241486
#Name: J/AJ/124/1486
#Title: M4 UBV color-magnitude diagrams (Mochejska+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/aj/124/1486	    IVOID of underlying data collection
#INFO	creator=Mochejska B.J.	    First author or institution
#INFO	cites=bibcode:2002AJ....124.1486M	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/124/1486	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51241486	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-04-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_124_1486_m4ubv:
#Name: J/AJ/124/1486/m4ubv
#Title: Astrometry and UBV photometry for 12121 stars in M4
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	MKT	(I5)	Sequential number, Cl* NGC 6121 MKT NNNNN in Simbad	[ucd=meta.record]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	Note	(a14)	Hot subdwarf candidate (BN) or Variable (VNN) identification	[ucd=meta.note]
#Column	RAJ2000	(F10.6)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;MKT;Vmag;e_Vmag;B-V;e_B-V;U-B;e_U-B;Note;RAJ2000;DEJ2000
#deg;deg; ;mag;mag;mag;mag;mag;mag; ;deg;deg
#------------;------------;-----;------;------;------;------;------;------;--------------;----------;----------
245.80760194;-26.51266000;    2;19.102; 0.013; 1.102; 0.022;      ;      ;              ;245.807602;-26.512660
245.80737111;-26.52878000;    4;17.396; 0.005; 0.868; 0.007; 0.108; 0.011;              ;245.807371;-26.528780
245.80750306;-26.52341000;    6;17.411; 0.005; 0.889; 0.010; 0.120; 0.013;              ;245.807503;-26.523410
245.80718306;-26.54253000;    7;18.168; 0.006; 0.954; 0.010; 0.139; 0.018;              ;245.807183;-26.542530
245.80669389;-26.57162000;    8;18.340; 0.005; 0.947; 0.011;      ;      ;              ;245.806694;-26.571620
245.80793306;-26.50523000;    9;19.140; 0.007; 1.144; 0.015;      ;      ;              ;245.807933;-26.505230
245.80760806;-26.52403000;   10;19.670; 0.013; 0.984; 0.022;      ;      ;              ;245.807608;-26.524030
245.80748806;-26.53148000;   11;18.807; 0.006; 1.060; 0.012;      ;      ;              ;245.807488;-26.531480
245.80806694;-26.50051000;   12;19.540; 0.009; 1.229; 0.024;      ;      ;              ;245.808067;-26.500510
245.80741611;-26.53640000;   13;16.557; 0.005; 0.879; 0.008; 0.126; 0.011;              ;245.807416;-26.536400
245.80724000;-26.55119000;   14;17.133; 0.004; 0.838; 0.007; 0.118; 0.013;              ;245.807240;-26.551190
245.80781889;-26.52108000;   15;17.914; 0.005; 0.927; 0.010; 0.146; 0.018;              ;245.807819;-26.521080
245.80760306;-26.53332000;   16;18.769; 0.006; 1.067; 0.011;      ;      ;              ;245.807603;-26.533320
245.80883694;-26.46908000;   17;18.381; 0.006; 1.020; 0.010;      ;      ;              ;245.808837;-26.469080
245.80695389;-26.57433000;   18;16.485; 0.003; 0.900; 0.006; 0.228; 0.008;              ;245.806954;-26.574330
245.80873611;-26.47993000;   19;19.860; 0.012; 0.863; 0.021;      ;      ;              ;245.808736;-26.479930
245.80803000;-26.52402000;   20;19.604; 0.015; 1.199; 0.024;      ;      ;              ;245.808030;-26.524020
245.80794889;-26.53293000;   22;16.639; 0.005; 0.895; 0.007; 0.172; 0.009;              ;245.807949;-26.532930
245.80905389;-26.47196000;   23;19.176; 0.009; 1.142; 0.015;      ;      ;              ;245.809054;-26.471960
245.80851389;-26.50601000;   24;18.145; 0.005; 0.960; 0.010; 0.198; 0.019;              ;245.808514;-26.506010
245.80716806;-26.58188000;   25;18.185; 0.005; 0.948; 0.011; 0.193; 0.020;              ;245.807168;-26.581880
245.80751500;-26.56399000;   27;18.703; 0.006; 0.997; 0.013;      ;      ;              ;245.807515;-26.563990
245.80794194;-26.54080000;   28;17.898; 0.005; 0.917; 0.008; 0.157; 0.015;              ;245.807942;-26.540800
245.80792306;-26.54199000;   29;17.801; 0.007; 0.895; 0.010; 0.151; 0.017;              ;245.807923;-26.541990
245.80787889;-26.54773000;   30;17.904; 0.005; 0.914; 0.010; 0.115; 0.016;              ;245.807879;-26.547730
245.80812000;-26.53675000;   31;17.762; 0.006; 0.889; 0.008; 0.204; 0.018;              ;245.808120;-26.536750
245.80923889;-26.47800000;   32;17.227; 0.004; 0.862; 0.006; 0.149; 0.009;              ;245.809239;-26.478000
245.80877000;-26.51267000;   34;19.273; 0.017; 1.244; 0.024;      ;      ;              ;245.808770;-26.512670
245.80871306;-26.51636000;   35;18.702; 0.008; 1.032; 0.015;      ;      ;              ;245.808713;-26.516360
