#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-11T00:19:26 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-11T00:19:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/PASP/116/1012/cat1&-order=I&-out=n_SMV&-out=SMV&-out=Umag&-out=Bmag&-out=e_Bmag&-out=Vmag&-out=e_Vmag&-out=Rmag&-out=e_Rmag&-out=Imag&-out=Memb&-out=RAJ2000&-out=DEJ2000&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_61161012
#Name: J/PASP/116/1012
#Title: A star catalog for the open cluster NGC 188 (Stetson+, 2004)
#INFO	ivoid=ivo://cds.vizier/j/pasp/116/1012	    IVOID of underlying data collection
#INFO	creator=Stetson P.B.	    First author or institution
#INFO	cites=bibcode:2004PASP..116.1012S	    Article or Data origin sources
#INFO	editor=Publications of the Astronomical Society of the Pacific	    Editor name (article)
#INFO	original_date=2004	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PASP/116/1012	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.61161012	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PASP_116_1012_cat1:
#Name: J/PASP/116/1012/cat1
#Title: Original photometry merged with previously published photometry and memberships
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	n_SMV	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	SMV	(I7)	Sequential ID number	[ucd=meta.id;meta.main]
#Column	Umag	(F6.3)	? U magnitude	[ucd=phot.mag;em.opt.U]
#Column	Bmag	(F6.3)	? B magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F6.4)	? B standard error of the mean	[ucd=stat.error;phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	? V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.4)	? V standard error of the mean	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Rmag	(F6.3)	? R magnitude	[ucd=phot.mag;em.opt.R]
#Column	e_Rmag	(F6.4)	? R standard error of the mean	[ucd=stat.error;phot.mag;em.opt.R]
#Column	Imag	(F6.3)	? I magnitude	[ucd=phot.mag;em.opt.I]
#Column	Memb	(I3)	? Mean membership probability in %	[ucd=stat]
#Column	RAJ2000	(A11)	Hour of right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;n_SMV;SMV;Umag;Bmag;e_Bmag;Vmag;e_Vmag;Rmag;e_Rmag;Imag;Memb;RAJ2000;DEJ2000
# deg;deg; ; ;mag;mag;mag;mag;mag;mag;mag;mag;%;"h:m:s";"d:m:s"
#-----------;-----------;-;-------;------;------;------;------;------;------;------;------;---;-----------;-----------
005.3071667;+85.2768333;x;      1;      ;20.493;0.0247;19.356;0.0164;      ;      ;      ;   ;00 21 13.72;+85 16 36.6
005.2930833;+85.3112500;x;      2;      ;17.788;0.0173;16.986;0.0158;      ;      ;      ;  4;00 21 10.34;+85 18 40.5
005.2645000;+85.3414444;x;      3;      ;18.856;0.0155;18.183;0.0163;      ;      ;      ;   ;00 21 03.48;+85 20 29.2
005.4672917;+85.2081944;x;      4;      ;15.165;0.0163;14.474;0.0177;      ;      ;      ;  6;00 21 52.15;+85 12 29.5
005.2766667;+85.3484444;x;      5;      ;16.312;0.0154;15.433;0.0161;      ;      ;      ;  0;00 21 06.40;+85 20 54.4
005.3377083;+85.3053889;x;      6;      ;18.114;0.0157;17.494;0.0158;      ;      ;      ;  6;00 21 21.05;+85 18 19.4
005.2530417;+85.3672778;x;      7;      ;20.202;0.0171;19.521;0.0168;      ;      ;      ;   ;00 21 00.73;+85 22 02.2
005.3882083;+85.2778611;x;      8;      ;19.183;0.0177;18.614;0.0165;      ;      ;      ;  3;00 21 33.17;+85 16 40.3
005.3237917;+85.3268333;x;      9;      ;21.418;0.0150;20.639;0.0172;      ;      ;      ;   ;00 21 17.71;+85 19 36.6
005.5023750;+85.2068333;x;     10;      ;20.307;0.0218;18.760;0.0184;      ;      ;      ;   ;00 22 00.57;+85 12 24.6
005.3352083;+85.3364444;x;     11;      ;18.381;0.0154;17.016;0.0157;      ;      ;      ;  0;00 21 20.45;+85 20 11.2
005.5359583;+85.1934722;x;     12;      ;16.205;0.0175;15.485;0.0155;      ;      ;      ;  0;00 22 08.63;+85 11 36.5
005.2902083;+85.3787222;x;     13;      ;22.111;0.0150;20.499;0.0187;      ;      ;      ;   ;00 21 09.65;+85 22 43.4
005.5811250;+85.1692222;x;     14;      ;16.314;0.0151;15.672;0.0161;      ;      ;      ;   ;00 22 19.47;+85 10 09.2
005.3560833;+85.3510000;x;     15;      ;21.590;0.0426;20.763;0.0319;      ;      ;      ;   ;00 21 25.46;+85 21 03.6
005.5966250;+85.1823056;x;     16;      ;15.915;0.0177;14.875;0.0163;      ;      ;      ;  0;00 22 23.19;+85 10 56.3
005.5819583;+85.2044444;x;     17;      ;20.013;0.0177;18.891;0.0164;      ;      ;      ;  9;00 22 19.67;+85 12 16.0
005.4182500;+85.3358889;x;     18;      ;18.060;0.0164;17.616;0.0155;      ;      ;      ;   ;00 21 40.38;+85 20 09.2
005.6243750;+85.1861111;x;     19;      ;21.688;0.0305;20.826;0.0335;      ;      ;      ;   ;00 22 29.85;+85 11 10.0
005.4264167;+85.3349722;x;     20;      ;19.665;0.0172;18.892;0.0186;      ;      ;      ;   ;00 21 42.34;+85 20 05.9
005.6945000;+85.1361944;x;     21;      ;20.876;0.0170;19.723;0.0150;      ;      ;      ;   ;00 22 46.68;+85 08 10.3
005.6814583;+85.1524444;x;     22;      ;18.938;0.0152;18.001;0.0168;      ;      ;      ;   ;00 22 43.55;+85 09 08.8
005.6766667;+85.1588611;x;     23;      ;18.078;0.0151;17.295;0.0159;      ;      ;      ;   ;00 22 42.40;+85 09 31.9
005.3760000;+85.3946111;x;     24;      ;14.974;0.0155;14.248;0.0202;      ;      ;      ;  0;00 21 30.24;+85 23 40.6
005.4433750;+85.3465278;x;     25;      ;16.995;0.0153;16.263;0.0157;      ;      ;      ;  0;00 21 46.41;+85 20 47.5
005.4517083;+85.3453056;x;     26;      ;18.527;0.0156;17.546;0.0158;      ;      ;      ; 21;00 21 48.41;+85 20 43.1
005.5700833;+85.2619444;x;     27;      ;17.027;0.0168;16.229;0.0173;      ;      ;      ;  0;00 22 16.82;+85 15 43.0
005.4762083;+85.3337222;x;     28;      ;20.757;0.0187;19.483;0.0195;      ;      ;      ;   ;00 21 54.29;+85 20 01.4
005.2520000;+85.4968056;x;     29;      ;15.442;0.0999;13.994;0.0999;      ;      ;      ; 91;00 21 00.48;+85 29 48.5
005.7224167;+85.1536944;x;     30;      ;18.132;0.0157;17.321;0.0165;      ;      ;      ;   ;00 22 53.38;+85 09 13.3
005.5177083;+85.3115000;x;     31;      ;18.839;0.0184;18.033;0.0162;      ;      ;      ;  0;00 22 04.25;+85 18 41.4
005.6321250;+85.2261389;x;     32;      ;18.887;0.0170;17.974;0.0167;      ;      ;      ; 11;00 22 31.71;+85 13 34.1
005.4527083;+85.3606944;x;     33;      ;14.259;0.0218;13.470;0.0150;      ;      ;      ;  0;00 21 48.65;+85 21 38.5
005.6227500;+85.2595833;x;     37;      ;17.708;0.0184;16.314;0.0177;      ;      ;      ;  0;00 22 29.46;+85 15 34.5
005.5818750;+85.2931944;x;     38;      ;20.970;0.0164;20.165;0.0159;      ;      ;      ;   ;00 22 19.65;+85 17 35.5
005.7618750;+85.1563611;x;     39;      ;21.053;0.0178;19.596;0.0150;      ;      ;      ;   ;00 23 02.85;+85 09 22.9
005.7647917;+85.1637500;x;     42;      ;19.190;0.0162;18.096;0.0176;      ;      ;      ;  0;00 23 03.55;+85 09 49.5
005.4246667;+85.4198333;x;     43;      ;20.319;0.0300;18.828;0.0307;      ;      ;      ;   ;00 21 41.92;+85 25 11.4
005.8007500;+85.1378889;x;     45;      ;19.493;0.0162;18.946;0.0173;      ;      ;      ;   ;00 23 12.18;+85 08 16.4
005.7087083;+85.2115278;x;     46;      ;20.309;0.0179;19.376;0.0167;      ;      ;      ;   ;00 22 50.09;+85 12 41.5
005.4682500;+85.4029722;x;     49;      ;20.929;0.0188;20.191;0.0179;      ;      ;      ;   ;00 21 52.38;+85 24 10.7
005.5460417;+85.3478611;x;     50;      ;21.762;0.0270;20.228;0.0175;      ;      ;      ;   ;00 22 11.05;+85 20 52.3
005.5307917;+85.3631389;x;     52;      ;21.778;0.0310;20.325;0.0165;      ;      ;      ;   ;00 22 07.39;+85 21 47.3
005.7263333;+85.2219722;x;     55;      ;20.431;0.0166;19.041;0.0184;      ;      ;      ;  3;00 22 54.32;+85 13 19.1
005.5957083;+85.3296389;x;     56;      ;20.051;0.0162;19.026;0.0162;      ;      ;      ;   ;00 22 22.97;+85 19 46.7
005.4834583;+85.4140278;x;     57;      ;20.434;0.0160;19.661;0.0194;      ;      ;      ;   ;00 21 56.03;+85 24 50.5
005.5507083;+85.3679722;x;     58;      ;      ;      ;20.991;0.0150;      ;      ;      ;   ;00 22 12.17;+85 22 04.7
005.4562917;+85.4435000;x;     60;      ;18.782;0.0161;17.845;0.0189;      ;      ;      ;  0;00 21 49.51;+85 26 36.6
005.9096250;+85.1012778;x;     61;      ;18.535;0.0216;17.914;0.0161;      ;      ;      ;   ;00 23 38.31;+85 06 04.6
005.5875417;+85.3526389;x;     62;      ;21.167;0.0194;20.618;0.0154;      ;      ;      ;   ;00 22 21.01;+85 21 09.5
005.8601250;+85.1425833;x;     63;      ;17.701;0.0175;16.972;0.0157;      ;      ;      ;  0;00 23 26.43;+85 08 33.3
005.8457500;+85.1550556;x;     64;      ;19.148;0.0155;18.123;0.0173;      ;      ;      ; 40;00 23 22.98;+85 09 18.2
005.5357917;+85.3924722;x;     65;      ;21.238;0.0362;20.683;0.0157;      ;      ;      ;   ;00 22 08.59;+85 23 32.9
005.7452917;+85.2366667;x;     66;      ;21.533;0.0269;20.875;0.0326;      ;      ;      ;   ;00 22 58.87;+85 14 12.0
005.4702917;+85.4436944;x;     69;      ;18.820;0.0159;17.802;0.0186;      ;      ;      ;  0;00 21 52.87;+85 26 37.3
005.7099583;+85.2765833;x;     70;      ;22.061;0.0150;21.419;0.0150;      ;      ;      ;   ;00 22 50.39;+85 16 35.7
005.9025833;+85.1291389;x;     72;      ;18.781;0.0204;17.447;0.0157;      ;      ;      ;  0;00 23 36.62;+85 07 44.9
005.7654167;+85.2416111;x;     73;      ;21.867;0.0150;20.608;0.0163;      ;      ;      ;   ;00 23 03.70;+85 14 29.8
005.6484167;+85.3323611;x;     74;      ;21.296;0.0189;20.651;0.0228;      ;      ;      ;   ;00 22 35.62;+85 19 56.5
005.5174583;+85.4327222;x;     75;      ;20.862;0.0230;20.319;0.0192;      ;      ;      ;   ;00 22 04.19;+85 25 57.8
005.9001250;+85.1446111;x;     77;      ;16.795;0.0186;16.022;0.0161;      ;      ;      ;  0;00 23 36.03;+85 08 40.6
005.5997083;+85.3857778;x;     78;      ;19.545;0.0151;18.308;0.0162;      ;      ;      ;   ;00 22 23.93;+85 23 08.8
005.5042500;+85.4579167;x;     80;      ;21.452;0.0186;19.969;0.0189;      ;      ;      ;   ;00 22 01.02;+85 27 28.5
005.7047083;+85.3166389;x;     82;      ;21.416;0.0163;19.859;0.0284;      ;      ;      ;   ;00 22 49.13;+85 18 59.9
005.9836667;+85.0961389;x;     83;      ;20.820;0.0150;19.239;0.0197;      ;      ;      ;   ;00 23 56.08;+85 05 46.1
005.8268333;+85.2274444;x;     86;      ;18.908;0.0162;17.988;0.0167;      ;      ;      ; 17;00 23 18.44;+85 13 38.8
005.9406250;+85.1406389;x;     88;      ;21.472;0.0653;19.924;0.0535;      ;      ;      ;   ;00 23 45.75;+85 08 26.3
005.5198333;+85.4643056;x;     90;      ;20.453;0.0279;19.970;0.0519;      ;      ;      ;   ;00 22 04.76;+85 27 51.5
