#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-10T23:59:19 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-10T23:59:20	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/349/1278/chip2&-order=I&-out=MPF&-out=Bmag&-out=e_Bmag&-out=Vmag&-out=e_Vmag&-out=Imag&-out=e_Imag&-out=xpos&-out=ypos&-out=RAdeg&-out=DEdeg&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73491278
#Name: J/MNRAS/349/1278
#Title: BVI photometry of M22 (Monaco+, 2004)
#INFO	ivoid=ivo://cds.vizier/j/mnras/349/1278	    IVOID of underlying data collection
#INFO	creator=Monaco L.	    First author or institution
#INFO	cites=bibcode:2004MNRAS.349.1278M	    Article or Data origin sources
#INFO	original_date=2004	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/349/1278	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73491278	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-06-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_349_1278_chip2:
#Name: J/MNRAS/349/1278/chip2
#Title: *Photometry of stars in Chip #2
#Column	_RAJ2000	(F13.9)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F13.9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	MPF	(I5)	Star Sequencial Identifier, Cl* NGC 6656 MPF NNNN in Simbad	[ucd=meta.id;meta.main]
#Column	Bmag	(F6.3)	B-band magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F6.3)	Formal DAOPHOT errors associated to the B-band magnitude	[ucd=stat.error]
#Column	Vmag	(F6.3)	V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	Formal DAOPHOT errors associated to the V-band magnitude	[ucd=stat.error]
#Column	Imag	(F6.3)	I-band magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Imag	(F6.3)	Formal DAOPHOT errors associated to the I-band magnitude	[ucd=stat.error]
#Column	xpos	(F8.3)	x star coordinates in the pixel coordinate system	[ucd=pos.cartesian.x;instr.det]
#Column	ypos	(F8.3)	y star coordinates in the pixel coordinate system	[ucd=pos.cartesian.y;instr.det]
#Column	RAdeg	(F11.7)	Right Ascension J2000 (decimal degrees)	[ucd=pos.eq.ra;meta.main]
#Column	DEdeg	(F11.7)	Declination J2000 (decimal degrees)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;MPF;Bmag;e_Bmag;Vmag;e_Vmag;Imag;e_Imag;xpos;ypos;RAdeg;DEdeg
#deg;deg; ;mag;mag;mag;mag;mag;mag;pix;pix;deg;deg
#-------------;-------------;-----;------;------;------;------;------;------;--------;--------;-----------;-----------
279.116359500;-23.920318700;    1;12.071; 0.010;10.351; 0.010; 8.544; 0.125; 806.273;1876.142;279.1163595;-23.9203187
279.043587100;-23.774296200;    2;10.854; 0.011;10.483; 0.011; 9.938; 0.014;1808.769;4086.802;279.0435871;-23.7742962
279.086291300;-23.924123100;    3;12.632; 0.010;10.836; 0.010; 8.926; 0.016;1221.985;1819.724;279.0862913;-23.9241231
279.044001500;-23.916702600;    4;12.708; 0.010;10.885; 0.011; 8.937; 0.019;1806.331;1933.347;279.0440015;-23.9167026
279.171046400;-23.971966800;    5;12.794; 0.010;10.942; 0.010; 8.980; 0.016;  52.285;1092.889;279.1710464;-23.9719668
279.072927200;-23.907270000;    6;12.888; 0.011;11.043; 0.010; 9.123; 0.016;1406.258;2075.037;279.0729272;-23.9072700
279.150771500;-23.994203300;    7;12.958; 0.010;11.096; 0.010; 9.096; 0.018; 333.186; 757.506;279.1507715;-23.9942033
279.062861400;-23.915139500;    8;12.973; 0.011;11.099; 0.010; 9.117; 0.017;1545.601;1956.375;279.0628614;-23.9151395
279.055333700;-23.879370100;    9;11.982; 0.010;11.177; 0.011;10.210; 0.011;1648.782;2497.517;279.0553337;-23.8793701
279.100167100;-23.908102200;   10;13.087; 0.011;11.237; 0.010; 9.261; 0.016;1029.730;2061.485;279.1001671;-23.9081022
279.080276000;-23.890651700;   11;13.129; 0.011;11.274; 0.011; 9.361; 0.014;1304.222;2326.079;279.0802760;-23.8906517
279.143229500;-24.036943400;   12;13.050; 0.010;11.307; 0.011; 9.362; 0.014; 438.819; 111.520;279.1432295;-24.0369434
279.108608700;-23.926007800;   13;13.123; 0.011;11.307; 0.011; 9.334; 0.013; 913.577;1790.407;279.1086087;-23.9260078
279.065004500;-23.916991800;   14;13.073; 0.010;11.330; 0.010; 9.440; 0.016;1516.025;1928.294;279.0650045;-23.9169918
279.137504600;-23.909793600;   15;12.525; 0.011;11.373; 0.011;10.041; 0.013; 513.653;2034.464;279.1375046;-23.9097936
279.060801900;-23.877523900;   16;13.133; 0.010;11.374; 0.011; 9.467; 0.011;1573.130;2525.255;279.0608019;-23.8775239
279.097777900;-23.914873400;   17;13.246; 0.010;11.388; 0.011; 9.399; 0.013;1062.953;1959.180;279.0977779;-23.9148734
279.116925100;-23.889691100;   18;13.161; 0.011;11.403; 0.011; 9.544; 0.012; 797.507;2339.261;279.1169251;-23.8896911
279.114098700;-23.889892500;   19;13.089; 0.011;11.442; 0.010; 9.611; 0.012; 836.589;2336.323;279.1140987;-23.8898925
279.100697600;-23.882408200;   20;13.188; 0.011;11.447; 0.010; 9.573; 0.013;1021.645;2450.002;279.1006976;-23.8824082
279.116535700;-23.917147200;   21;13.242; 0.011;11.479; 0.010; 9.622; 0.012; 803.740;1924.093;279.1165357;-23.9171472
279.079458000;-23.931294900;   22;13.180; 0.010;11.500; 0.011; 9.695; 0.012;1316.627;1711.515;279.0794580;-23.9312949
279.087538700;-23.911729800;   23;13.142; 0.010;11.503; 0.010; 9.702; 0.012;1204.399;2007.086;279.0875387;-23.9117298
279.138641000;-23.875680300;   24;13.109; 0.011;11.517; 0.010; 9.742; 0.013; 496.807;2550.269;279.1386410;-23.8756803
279.042372000;-23.906050600;   25;13.264; 0.010;11.534; 0.011; 9.705; 0.014;1828.610;2094.474;279.0423720;-23.9060506
279.147073500;-23.805654300;   26;12.128; 0.010;11.599; 0.010;10.928; 0.012; 377.814;3608.843;279.1470735;-23.8056543
279.059382500;-23.908614300;   27;13.264; 0.011;11.538; 0.009; 9.698; 0.015;1593.527;2055.162;279.0593825;-23.9086143
279.127216600;-23.899348000;   28;13.153; 0.011;11.582; 0.011; 9.861; 0.013; 655.532;2192.831;279.1272166;-23.8993480
279.071778800;-23.903109900;   29;13.179; 0.010;11.611; 0.010; 9.859; 0.012;1422.024;2137.983;279.0717788;-23.9031099
279.144601000;-23.866973400;   30;13.165; 0.011;11.612; 0.008; 9.858; 0.012; 414.103;2681.689;279.1446010;-23.8669734
279.113979400;-23.857255200;   31;13.153; 0.011;11.633; 0.010; 9.928; 0.012; 837.236;2829.860;279.1139794;-23.8572552
279.085972000;-23.859895200;   32;13.214; 0.011;11.678; 0.009; 9.944; 0.011;1224.621;2790.970;279.0859720;-23.8598952
279.071928500;-23.994085200;   33;12.942; 0.011;11.708; 0.008;10.371; 0.012;1422.334; 762.282;279.0719285;-23.9940852
279.058945100;-24.033720100;   34;13.220; 0.010;11.787; 0.008;10.174; 0.011;1602.671; 163.374;279.0589451;-24.0337201
279.154054500;-23.862173100;   35;13.084; 0.010;11.846; 0.008;10.491; 0.013; 283.213;2753.885;279.1540545;-23.8621731
279.059143600;-23.925806700;   36;13.385; 0.011;11.841; 0.008;10.132; 0.013;1597.255;1795.192;279.0591436;-23.9258067
279.044264100;-23.857514000;   37;13.452; 0.010;11.854; 0.011;10.105; 0.012;1801.329;2828.373;279.0442641;-23.8575140
279.125282000;-23.893730400;   38;13.318; 0.010;11.895; 0.007;10.259; 0.013; 682.098;2277.855;279.1252820;-23.8937304
279.109932700;-23.890387300;   39;13.483; 0.009;11.898; 0.011;10.167; 0.011; 894.201;2329.000;279.1099327;-23.8903873
279.041308600;-23.881266300;   40;13.438; 0.011;11.903; 0.007;10.182; 0.011;1842.744;2469.288;279.0413086;-23.8812663
279.061170700;-24.014703300;   41;13.040; 0.010;11.932; 0.007;10.684; 0.012;1571.460; 450.865;279.0611707;-24.0147033
279.095202600;-23.899964900;   42;13.430; 0.011;11.912; 0.011;10.211; 0.012;1098.124;2184.716;279.0952026;-23.8999649
279.133979700;-23.934423000;   43;13.431; 0.011;11.923; 0.010;10.218; 0.013; 563.188;1662.169;279.1339797;-23.9344230
279.120429600;-23.850441100;   44;13.402; 0.009;11.951; 0.007;10.305; 0.012; 747.823;2932.653;279.1204296;-23.8504411
279.167025100;-23.880763400;   45;12.758; 0.010;11.992; 0.007;11.040; 0.012; 104.526;2472.212;279.1670251;-23.8807634
279.159426200;-23.886949100;   46;13.545; 0.011;11.948; 0.007;10.212; 0.012; 209.812;2379.000;279.1594262;-23.8869491
279.074055100;-23.909026300;   47;13.466; 0.011;11.959; 0.011;10.250; 0.013;1390.713;2048.439;279.0740551;-23.9090263
279.125073500;-23.897230600;   48;13.446; 0.011;11.980; 0.008;10.322; 0.012; 685.091;2224.934;279.1250735;-23.8972306
279.099360600;-23.878845600;   49;13.577; 0.008;12.025; 0.007;10.317; 0.012;1040.028;2503.924;279.0993606;-23.8788456
279.108951700;-23.914272400;   50;13.536; 0.011;12.041; 0.011;10.354; 0.013; 908.483;1967.853;279.1089517;-23.9142724
279.108257300;-23.932863900;   51;13.627; 0.008;12.061; 0.007;10.356; 0.012; 918.641;1686.745;279.1082573;-23.9328639
