#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-11T00:58:41 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-11T00:58:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-source=J/A+A/382/899/table3&-order=I&-out=FBC&-out=IDT2&-out=Bmag&-out=Vmag&-out=Imag&-out=n_Imag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33820899
#Name: J/A+A/382/899
#Title: BVI photometry in M67 (Stassun+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/382/899	    IVOID of underlying data collection
#INFO	creator=Stassun K.G.	    First author or institution
#INFO	cites=bibcode:2002A&A...382..899S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/382/899	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33820899	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_382_899_table3:
#Name: J/A+A/382/899/table3
#Title: BVI photometry for all sources included in study
#Column	FBC	(I4)	? Star identification number as in table 1 (1)	[ucd=meta.id;meta.main]
#Column	IDT2	(A1)	Star identification as in table2 (1)	[ucd=meta.id;meta.main]
#Column	Bmag	(F5.2)	? Johnson B magnitude	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F5.2)	? Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Imag	(F5.2)	? Cousins I or Gunn i magnitude (2)	[ucd=phot.mag;em.opt.I]
#Column	n_Imag	(I1)	[1]? 1: Cousins I magnitude, else Gunn i	[ucd=meta.code;instr.filter]
FBC;IDT2;Bmag;Vmag;Imag;n_Imag
# ; ;mag;mag;mag;
#----;-;-----;-----;-----;-
1120; ;13.68;13.17;     ;
1320; ;15.45;14.83;     ;
1377; ;11.16; 9.94;     ;
1395; ;14.32;13.73;     ;
1405; ;15.54;14.78;     ;
1406; ;13.84;13.41;     ;
1462; ;11.81;11.14;     ;
1469; ;14.90;14.33;     ;
1489; ;15.33;14.65;     ;
1500; ;15.21;14.35;     ;
1536; ;14.82;14.22;     ;
1613; ;15.21;14.58;     ;
1678; ;16.00;15.27;     ;
1691; ;15.79;15.23;     ;
1733; ;15.98;     ;     ;
1749; ;15.77;14.95;     ;
1758; ;15.39;14.62;     ;
1927; ;15.62;14.71;     ;
1947; ;16.26;15.41;     ;
1987; ;15.02;14.47;     ;
2024; ;14.97;14.35;     ;
2117; ;16.35;15.62;     ;
2147; ;17.27;     ;     ;
2189; ;     ;17.30;     ;
2215; ;16.24;15.61;     ;
2227; ;15.38;14.58;     ;
2234; ;16.00;15.29;     ;
2245; ;15.99;     ;14.79;
2251; ;15.50;14.91;     ;
2260; ;     ;     ;17.27;
2266; ;16.01;15.39;14.62;
2270; ;15.94;15.32;14.53;
2272; ;     ;     ;16.22;
2276; ;     ;18.06;17.33;
2280; ;16.13;14.70;12.26;
2284; ;     ;     ;17.69;
2288; ;16.62;15.78;14.76;
2292; ;17.43;16.79;15.95;
2295; ;     ;     ;17.25;
2301; ;14.48;13.91;13.19;
2303; ;     ;     ;17.63;
2310; ;     ;17.35;15.79;
2316; ;15.93;15.34;14.54;
2314; ;13.41;12.88;12.18;
2326; ;16.63;15.77;14.74;
2323; ;     ;     ;16.88;
2330; ;18.31;17.63;16.74;
2334; ;     ;     ;18.01;
2331; ;     ;17.83;16.17;
2333; ;     ;17.86;16.56;
2340; ;     ;18.79;16.51;
2339; ;13.15;12.41;11.50;
2342; ;18.46;17.31;15.83;
2356; ;     ;17.28;15.46;
2354; ;     ;17.88;16.83;
2365; ;13.98;13.43;12.72;
2366; ;     ;     ;17.20;
2362; ;17.97;16.88;15.55;
2371; ;     ;17.95;16.85;
2368; ;16.22;15.62;14.82;
2377; ;     ;18.35;     ;
2373; ;     ;     ;17.79;
2385; ;     ;     ;16.93;
2386; ;     ;     ;17.58;
2396; ;17.56;16.56;15.33;
2402; ;14.89;14.17;13.27;
2408; ;     ;18.01;17.06;
